Date,MSFT,AAPL,TWTR
01/02/2020,160.62,75.09,32.30
01/03/2020,158.62,74.36,31.52
01/06/2020,159.03,74.95,31.64
01/07/2020,157.58,74.60,32.54
01/08/2020,160.09,75.80,33.05
01/09/2020,162.09,77.41,33.22
01/10/2020,161.34,77.58,32.78
01/13/2020,163.28,79.24,32.69
01/14/2020,162.13,78.17,32.82
01/15/2020,163.18,77.83,33.23
01/16/2020,166.17,78.81,34.19
01/17/2020,167.10,79.68,34.22
01/21/2020,166.50,79.14,34.09
01/22/2020,165.70,79.43,34.02
01/23/2020,166.72,79.81,33.89
01/24/2020,165.04,79.58,33.19
01/27/2020,162.28,77.24,32.78
01/28/2020,165.46,79.42,33.42
01/29/2020,168.04,81.08,33.63
01/30/2020,172.78,80.97,33.22
01/31/2020,170.23,77.38,32.48
02/03/2020,174.38,77.17,33.07
02/04/2020,180.12,79.71,33.96
02/05/2020,179.90,80.36,33.39
02/06/2020,183.63,81.30,38.41
02/07/2020,183.89,80.01,37.03
02/10/2020,188.70,80.39,35.96
02/11/2020,184.44,79.90,35.65
02/12/2020,184.71,81.80,36.79
02/13/2020,183.71,81.22,37.16
02/14/2020,185.35,81.24,36.91
02/18/2020,187.23,79.75,38.06
02/19/2020,187.28,80.91,38.77
02/20/2020,184.42,80.08,39.05
02/21/2020,178.59,78.26,38.31
02/24/2020,170.89,74.55,35.89
02/25/2020,168.07,72.02,35.21
02/26/2020,170.17,73.16,34.63
02/27/2020,158.18,68.38,33.01
02/28/2020,162.01,68.34,33.20
03/02/2020,172.79,74.70,35.82
03/03/2020,164.51,72.33,34.93
03/04/2020,170.55,75.69,36.00
03/05/2020,166.27,73.23,34.97
03/06/2020,161.57,72.26,33.46
03/09/2020,150.62,66.54,32.46
03/10/2020,160.92,71.33,34.31
03/11/2020,153.63,68.86,31.30
03/12/2020,139.06,62.06,26.78
03/13/2020,158.83,69.49,29.29
03/16/2020,135.42,60.55,24.04
03/17/2020,146.57,63.22,24.48
03/18/2020,140.40,61.67,22.00
03/19/2020,142.71,61.20,24.13
03/20/2020,137.35,57.31,23.95
03/23/2020,135.98,56.09,24.69
03/24/2020,148.34,61.72,25.85
03/25/2020,146.92,61.38,25.97
03/26/2020,156.11,64.61,26.41
03/27/2020,149.70,61.94,25.29
03/30/2020,160.23,63.70,25.59
03/31/2020,157.71,63.57,24.56
