Date,Open ,High,Low,Close
2015-05-26 09:30:00,719.51,720.32,714.11,714.7
2015-05-26 10:00:00,714.7,715.58,712.02,713.89
2015-05-26 12:00:00,713.89,714.56,711.89,711.95
2015-05-26 14:00:00,711.95,715.43,711.44,714.79
2015-05-27 09:30:00,716.49,723.03,716.21,721.83
2015-05-27 10:00:00,721.83,725.07,720.3,724.63
2015-05-27 12:00:00,724.63,732.51,723.95,732.09
2015-05-27 14:00:00,732.09,744.76,730.4,742.48
2015-05-28 09:30:00,743.73,746.98,740.78,740.78
2015-05-28 10:00:00,740.78,746.53,738.33,743.0
2015-05-28 12:00:00,743.0,744.21,741.35,741.4
2015-05-28 14:00:00,741.4,743.78,740.52,743.23
2015-05-29 09:30:00,745.93,749.16,745.46,748.42
2015-05-29 10:00:00,748.42,748.62,742.56,746.32
2015-05-29 12:00:00,746.32,749.06,745.54,748.47
2015-05-29 14:00:00,748.47,748.47,744.98,745.62
2015-06-01 09:30:00,748.08,751.03,745.89,746.43
2015-06-01 10:00:00,746.43,747.73,742.01,744.78
2015-06-01 12:00:00,744.78,748.66,744.78,747.18
2015-06-01 14:00:00,747.18,747.72,745.59,746.11
2015-06-02 09:30:00,744.8,744.92,736.9,737.97
2015-06-02 10:00:00,737.97,739.98,736.88,738.74
2015-06-02 12:00:00,738.74,740.93,738.38,740.54
2015-06-02 14:00:00,740.54,740.71,736.98,737.31
2015-06-03 09:30:00,739.37,741.7,737.27,737.83
2015-06-03 10:00:00,737.83,740.59,736.2,736.4
2015-06-03 12:00:00,736.4,736.44,733.93,734.36
2015-06-03 14:00:00,734.36,735.68,732.26,732.71
2015-06-04 09:30:00,730.83,730.83,726.34,729.86
2015-06-04 10:00:00,729.86,732.11,728.28,729.41
2015-06-04 12:00:00,729.41,729.59,724.79,725.01
2015-06-04 14:00:00,725.01,726.32,724.06,725.92
2015-06-05 09:30:00,724.94,725.18,719.58,722.84
2015-06-05 10:00:00,722.84,727.51,722.77,727.4
2015-06-05 12:00:00,727.4,728.12,726.02,726.52
2015-06-05 14:00:00,726.52,727.76,726.17,726.31
2015-06-08 09:30:00,726.94,726.94,721.56,721.56
2015-06-08 10:00:00,721.56,721.56,714.72,714.94
2015-06-08 12:00:00,714.94,715.69,710.71,712.02
2015-06-08 14:00:00,712.02,714.61,711.11,712.42
2015-06-09 09:30:00,712.81,713.55,707.98,708.36
2015-06-09 10:00:00,708.36,713.21,704.86,712.03
2015-06-09 12:00:00,712.03,712.68,710.5,711.99
2015-06-09 14:00:00,711.99,713.84,710.9,711.6
2015-06-10 09:30:00,714.57,716.91,714.48,715.88
2015-06-10 10:00:00,715.88,723.21,715.88,721.35
2015-06-10 12:00:00,721.35,721.92,720.17,721.58
2015-06-10 14:00:00,721.58,723.12,720.88,720.88
2015-06-11 09:30:00,721.65,723.93,721.38,723.69
2015-06-11 10:00:00,723.69,724.35,720.32,720.83
2015-06-11 12:00:00,720.83,721.92,719.87,721.22
2015-06-11 14:00:00,721.22,721.79,719.91,720.59
2015-06-12 09:30:00,718.74,718.84,714.51,716.12
2015-06-12 10:00:00,716.12,717.53,713.08,714.44
2015-06-12 12:00:00,714.44,715.65,713.73,715.38
2015-06-12 14:00:00,715.38,715.57,713.36,714.19
2015-06-15 09:30:00,710.16,710.16,703.07,705.54
2015-06-15 10:00:00,705.54,711.88,705.26,711.13
2015-06-15 12:00:00,711.13,713.17,710.38,711.16
2015-06-15 14:00:00,711.16,713.05,710.53,712.67
2015-06-16 09:30:00,712.46,713.63,710.37,710.78
2015-06-16 10:00:00,710.78,713.01,709.64,712.54
2015-06-16 12:00:00,712.54,715.8,712.13,714.86
2015-06-16 14:00:00,714.86,716.39,714.57,715.07
2015-06-17 09:30:00,715.21,717.82,715.0,717.38
2015-06-17 10:00:00,717.38,717.97,714.37,715.09
2015-06-17 12:00:00,715.09,715.29,712.68,713.44
2015-06-17 14:00:00,713.44,717.96,712.11,715.23
2015-06-18 09:30:00,716.31,720.62,716.24,720.29
2015-06-18 10:00:00,720.29,726.35,719.91,725.85
2015-06-18 12:00:00,725.85,728.56,724.99,724.99
2015-06-18 14:00:00,724.99,727.22,724.8,725.53
2015-06-19 09:30:00,726.84,728.02,724.86,725.32
2015-06-19 10:00:00,725.32,726.26,721.08,721.29
2015-06-19 12:00:00,721.29,722.1,720.08,721.13
2015-06-19 14:00:00,721.13,724.73,719.24,723.47
2015-06-22 09:30:00,725.22,729.38,725.22,728.41
2015-06-22 10:00:00,728.41,729.54,725.87,726.4
2015-06-22 12:00:00,726.4,726.6,724.14,726.6
2015-06-22 14:00:00,726.6,728.83,726.43,728.24
2015-06-23 09:30:00,728.93,730.57,726.95,726.95
2015-06-23 10:00:00,726.95,727.31,723.54,724.03
2015-06-23 12:00:00,724.03,724.03,721.74,722.04
2015-06-23 14:00:00,722.04,724.24,721.85,723.88
2015-06-24 09:30:00,723.82,724.69,720.85,724.1
2015-06-24 10:00:00,724.1,724.1,720.45,720.77
2015-06-24 12:00:00,720.77,720.77,716.4,717.11
2015-06-24 14:00:00,717.11,718.01,716.42,716.58
2015-06-25 09:30:00,717.81,720.42,717.75,720.31
2015-06-25 10:00:00,720.31,720.8,718.51,720.45
2015-06-25 12:00:00,720.45,720.52,717.1,717.1
2015-06-25 14:00:00,717.1,717.1,714.12,715.98
2015-06-26 09:30:00,707.87,708.67,705.85,707.65
2015-06-26 10:00:00,707.65,708.68,702.33,702.33
2015-06-26 12:00:00,702.33,702.44,695.39,697.91
2015-06-26 14:00:00,697.91,700.91,697.11,698.44
2015-06-29 09:30:00,690.17,692.54,683.81,690.33
2015-06-29 10:00:00,690.33,692.88,682.67,684.32
2015-06-29 12:00:00,684.32,685.5,682.45,683.42
2015-06-29 14:00:00,683.42,683.42,677.49,678.18
2015-06-30 09:30:00,681.47,684.55,680.5,680.87
2015-06-30 10:00:00,680.87,682.08,677.28,679.64
2015-06-30 12:00:00,679.64,684.05,677.7,683.66
2015-06-30 14:00:00,683.66,685.71,680.4,680.51
2015-07-01 09:30:00,683.52,690.9,683.52,689.22
2015-07-01 10:00:00,689.22,689.78,683.01,683.01
2015-07-01 12:00:00,683.01,683.57,681.31,681.77
2015-07-01 14:00:00,681.77,682.19,680.5,682.1
2015-07-02 09:30:00,682.21,685.23,682.21,684.35
2015-07-02 10:00:00,684.35,687.22,683.04,683.74
2015-07-02 12:00:00,683.74,684.07,682.14,682.88
2015-07-02 14:00:00,682.88,686.37,682.61,685.38
2015-07-06 09:30:00,682.02,682.08,677.01,681.53
2015-07-06 10:00:00,681.53,685.25,679.86,680.84
2015-07-06 12:00:00,680.84,680.84,674.55,674.6
2015-07-06 14:00:00,674.6,676.22,672.34,675.08
2015-07-07 09:30:00,675.31,675.51,664.12,664.4
2015-07-07 10:00:00,664.4,664.55,652.87,660.0
2015-07-07 12:00:00,660.0,667.7,659.13,666.85
2015-07-07 14:00:00,666.85,674.67,665.02,672.82
2015-07-08 09:30:00,665.6,665.89,657.85,658.23
2015-07-08 10:00:00,658.23,659.61,653.23,654.19
2015-07-08 12:00:00,654.19,658.66,654.08,658.46
2015-07-08 14:00:00,658.46,658.46,654.06,655.35
2015-07-09 09:30:00,661.94,668.15,659.9,660.36
2015-07-09 10:00:00,660.36,661.3,652.86,652.96
2015-07-09 12:00:00,652.96,654.32,650.69,651.32
2015-07-09 14:00:00,651.32,651.96,646.52,646.65
2015-07-10 09:30:00,653.21,659.17,652.83,658.31
2015-07-10 10:00:00,658.31,659.17,653.67,656.75
