date,close
05/20/14,26.55
05/21/14,26.99
05/22/14,27.17
05/23/14,27.33
05/27/14,28.06
05/28/14,28.61
05/29/14,28.58
05/30/14,28.59
06/02/14,28.66
06/03/14,28.67
06/04/14,28.97
06/05/14,29.04
06/06/14,29.54
06/09/14,29.0
06/10/14,29.51
06/11/14,30.99
06/12/14,30.86
06/13/14,31.17
06/16/14,31.91
06/17/14,32.25
06/18/14,32.06
06/19/14,31.81
06/20/14,31.85
06/23/14,31.26
06/24/14,32.5
06/25/14,32.34
06/26/14,32.0
06/27/14,31.51
06/30/14,32.95
07/01/14,33.98
07/02/14,33.76
07/03/14,33.73
07/07/14,32.86
07/08/14,33.13
07/09/14,32.89
07/10/14,32.77
07/11/14,32.8
07/14/14,33.59
07/15/14,34.02
07/16/14,34.64
07/17/14,33.05
07/18/14,33.15
07/21/14,33.07
07/22/14,33.63
07/23/14,33.68
07/24/14,33.88
07/25/14,33.42
07/28/14,31.98
07/29/14,32.13
07/30/14,32.53
07/31/14,30.55
08/01/14,31.09
08/04/14,31.69
08/05/14,31.09
08/06/14,30.68
08/07/14,29.68
08/08/14,30.04
08/11/14,30.74
08/12/14,30.7
08/13/14,31.38
08/14/14,31.04
08/15/14,31.49
08/18/14,32.04
08/19/14,32.4
08/20/14,33.3
08/21/14,33.19
08/22/14,33.29
08/25/14,33.21
08/26/14,32.88
08/27/14,32.99
08/28/14,32.81
08/29/14,32.6
09/02/14,31.51
09/03/14,31.68
09/04/14,32.12
09/05/14,32.94
09/08/14,33.14
09/09/14,31.98
09/10/14,32.09
09/11/14,32.04
09/12/14,31.52
09/15/14,30.02
09/16/14,31.45
09/17/14,31.98
09/18/14,32.48
09/19/14,31.63
09/22/14,30.6
09/23/14,31.2
09/24/14,32.22
09/25/14,31.7
09/26/14,33.83
09/29/14,34.5
09/30/14,34.26
10/01/14,33.5
10/02/14,33.81
10/03/14,33.94
10/06/14,32.57
10/07/14,31.86
10/08/14,32.32
10/09/14,30.64
10/10/14,27.79
10/13/14,27.03
10/14/14,27.39
10/15/14,27.54
10/16/14,28.3
10/17/14,28.76
10/20/14,29.69
10/21/14,31.19
10/22/14,30.57
10/23/14,30.89
10/24/14,31.06
10/27/14,32.3
10/28/14,32.61
10/29/14,32.28
10/30/14,31.82
10/31/14,33.09
11/03/14,33.51
11/04/14,33.37
11/05/14,33.71
11/06/14,33.35
11/07/14,33.01
11/10/14,33.09
11/11/14,33.2
11/12/14,32.91
11/13/14,32.94
11/14/14,32.62
11/17/14,32.29
11/18/14,32.87
11/19/14,32.96
11/20/14,33.21
11/21/14,34.3
11/24/14,34.73
11/25/14,34.8
11/26/14,35.62
11/28/14,35.95
12/01/14,34.99
12/02/14,35.6
12/03/14,36.1
12/04/14,36.07
12/05/14,36.49
12/08/14,36.02
12/09/14,35.66
12/10/14,34.86
12/11/14,35.19
12/12/14,34.0
12/15/14,33.35
12/16/14,32.92
12/17/14,33.83
12/18/14,34.45
12/19/14,34.49
12/22/14,34.64
12/23/14,34.97
12/24/14,34.91
12/26/14,35.0
12/29/14,35.53
12/30/14,35.4
12/31/14,35.01
01/02/15,34.75
01/05/15,33.78
01/06/15,32.87
01/07/15,32.1
01/08/15,33.67
01/09/15,33.52
01/12/15,31.66
01/13/15,30.84
01/14/15,30.05
01/15/15,29.3
