date,intc_close
05/20/14,26.04
05/21/14,26.2
05/22/14,26.15
05/23/14,26.29
05/27/14,26.71
05/28/14,26.88
05/29/14,26.96
05/30/14,27.32
06/02/14,27.26
06/03/14,27.66
06/04/14,27.6
06/05/14,27.66
06/06/14,28.17
06/09/14,27.91
06/10/14,28.24
06/11/14,27.93
06/12/14,27.96
06/13/14,29.87
06/16/14,30.01
06/17/14,29.95
06/18/14,29.93
06/19/14,30.09
06/20/14,30.2
06/23/14,30.23
06/24/14,30.5
06/25/14,30.88
06/26/14,30.78
06/27/14,30.93
06/30/14,30.9
07/01/14,30.98
07/02/14,30.98
07/03/14,31.14
07/07/14,31.03
07/08/14,30.79
07/09/14,30.89
07/10/14,31.26
07/11/14,31.25
07/14/14,31.49
07/15/14,31.71
07/16/14,34.65
07/17/14,33.7
07/18/14,33.7
07/21/14,34.06
07/22/14,34.79
07/23/14,34.5
07/24/14,34.25
07/25/14,34.25
07/28/14,34.23
07/29/14,34.19
07/30/14,34.35
07/31/14,33.89
08/01/14,33.74
08/04/14,34.05
08/05/14,32.82
08/06/14,32.84
08/07/14,32.68
08/08/14,32.6
08/11/14,33.02
08/12/14,33.13
08/13/14,34.1
08/14/14,33.94
08/15/14,34.17
08/18/14,34.41
08/19/14,34.34
08/20/14,34.5
08/21/14,35.15
08/22/14,34.94
08/25/14,34.81
08/26/14,34.8
08/27/14,34.79
08/28/14,34.65
08/29/14,34.92
09/02/14,34.57
09/03/14,34.57
09/04/14,34.9
09/05/14,35.0
09/08/14,35.33
09/09/14,34.91
09/10/14,35.02
09/11/14,35.02
09/12/14,34.62
09/15/14,34.54
09/16/14,34.93
09/17/14,34.98
09/18/14,35.17
09/19/14,34.82
09/22/14,34.71
09/23/14,34.42
09/24/14,34.75
09/25/14,34.14
09/26/14,34.26
09/29/14,34.9
09/30/14,34.82
10/01/14,33.99
10/02/14,33.52
10/03/14,34.03
10/06/14,34.11
10/07/14,33.47
10/08/14,34.27
10/09/14,33.62
10/10/14,31.91
10/13/14,31.47
10/14/14,32.14
10/15/14,31.28
10/16/14,30.85
10/17/14,31.38
10/20/14,31.58
10/21/14,32.61
10/22/14,32.27
10/23/14,32.69
10/24/14,33.18
10/27/14,33.2
10/28/14,33.74
10/29/14,33.92
10/30/14,32.58
10/31/14,34.01
11/03/14,34.31
11/04/14,34.54
11/05/14,33.76
11/06/14,33.82
11/07/14,33.58
11/10/14,33.26
11/11/14,33.31
11/12/14,33.38
11/13/14,33.68
11/14/14,33.95
11/17/14,34.24
11/18/14,34.71
11/19/14,34.35
11/20/14,35.95
11/21/14,35.59
11/24/14,36.25
11/25/14,36.32
11/26/14,36.9
11/28/14,37.25
12/01/14,37.17
12/02/14,37.6
12/03/14,37.43
12/04/14,37.46
12/05/14,37.67
12/08/14,37.2
12/09/14,36.89
12/10/14,36.42
12/11/14,36.7
12/12/14,36.22
12/15/14,35.92
12/16/14,35.56
12/17/14,36.24
12/18/14,37.02
12/19/14,36.37
12/22/14,37.21
12/23/14,37.43
12/24/14,37.44
12/26/14,37.55
12/29/14,37.18
12/30/14,36.76
12/31/14,36.29
01/02/15,36.36
01/05/15,35.95
01/06/15,35.28
01/07/15,36.02
01/08/15,36.69
01/09/15,36.76
01/12/15,36.6
01/13/15,36.5
01/14/15,36.35
01/15/15,36.19
