date,nvda_close
05/20/14,18.24
05/21/14,18.24
05/22/14,18.32
05/23/14,18.49
05/27/14,18.82
05/28/14,18.98
05/29/14,18.95
05/30/14,19.0
06/02/14,18.94
06/03/14,18.86
06/04/14,18.88
06/05/14,18.96
06/06/14,19.03
06/09/14,19.05
06/10/14,19.15
06/11/14,19.4
06/12/14,19.52
06/13/14,19.54
06/16/14,19.48
06/17/14,19.61
06/18/14,19.59
06/19/14,19.14
06/20/14,18.93
06/23/14,18.71
06/24/14,18.42
06/25/14,18.61
06/26/14,18.36
06/27/14,18.38
06/30/14,18.54
07/01/14,18.75
07/02/14,18.68
07/03/14,18.85
07/07/14,18.7
07/08/14,18.55
07/09/14,19.11
07/10/14,19.0
07/11/14,19.05
07/14/14,19.29
07/15/14,19.37
07/16/14,19.35
07/17/14,19.3
07/18/14,18.44
07/21/14,18.55
07/22/14,18.47
07/23/14,18.08
07/24/14,18.11
07/25/14,17.79
07/28/14,17.72
07/29/14,17.78
07/30/14,18.08
07/31/14,17.5
08/01/14,17.69
08/04/14,17.65
08/05/14,17.66
08/06/14,17.64
08/07/14,17.46
08/08/14,19.0
08/11/14,18.9
08/12/14,18.9
08/13/14,19.01
08/14/14,18.8
08/15/14,19.04
08/18/14,19.3
08/19/14,19.37
08/20/14,19.25
08/21/14,19.07
08/22/14,19.08
08/25/14,19.11
08/26/14,19.45
08/27/14,19.23
08/28/14,19.39
08/29/14,19.45
09/02/14,19.5
09/03/14,19.68
09/04/14,20.03
09/05/14,19.97
09/08/14,19.79
09/09/14,19.54
09/10/14,19.61
09/11/14,19.41
09/12/14,19.12
09/15/14,18.86
09/16/14,19.14
09/17/14,19.15
09/18/14,19.44
09/19/14,19.08
09/22/14,18.89
09/23/14,18.81
09/24/14,18.92
09/25/14,18.51
09/26/14,18.55
09/29/14,18.52
09/30/14,18.45
10/01/14,18.27
10/02/14,18.19
10/03/14,18.23
10/06/14,18.12
10/07/14,17.92
10/08/14,18.26
10/09/14,17.91
10/10/14,16.84
10/13/14,16.78
10/14/14,17.18
10/15/14,17.44
10/16/14,17.45
10/17/14,17.42
10/20/14,17.57
10/21/14,18.32
10/22/14,17.89
10/23/14,18.28
10/24/14,18.48
10/27/14,18.49
10/28/14,18.93
10/29/14,18.8
10/30/14,18.69
10/31/14,19.54
11/03/14,19.87
11/04/14,20.13
11/05/14,20.13
11/06/14,20.22
11/07/14,19.79
11/10/14,20.02
11/11/14,19.78
11/12/14,19.64
11/13/14,19.55
11/14/14,19.78
11/17/14,19.7
11/18/14,20.17
11/19/14,20.01
11/20/14,20.34
11/21/14,20.45
11/24/14,20.58
11/25/14,20.57
11/26/14,20.92
11/28/14,20.97
12/01/14,20.58
12/02/14,20.61
12/03/14,21.14
12/04/14,20.95
12/05/14,21.07
12/08/14,20.8
12/09/14,20.73
12/10/14,20.27
12/11/14,20.26
12/12/14,19.63
12/15/14,19.57
12/16/14,19.34
12/17/14,20.14
12/18/14,20.22
12/19/14,20.42
12/22/14,20.78
12/23/14,20.65
12/24/14,20.57
12/26/14,20.59
12/29/14,20.56
12/30/14,20.37
12/31/14,20.05
01/02/15,20.13
01/05/15,19.79
01/06/15,19.19
01/07/15,19.14
01/08/15,19.86
01/09/15,19.94
01/12/15,19.69
01/13/15,19.66
01/14/15,19.74
01/15/15,19.6
01/16/15,19.96
01/20/15,20.02
01/21/15,20.3
01/22/15,20.65
01/23/15,20.71
01/26/15,20.62
01/27/15,19.63
01/28/15,19.31
01/29/15,19.78
01/30/15,19.2
02/02/15,19.62
02/03/15,20.11
02/04/15,20.16
02/05/15,20.48
02/06/15,20.4
02/09/15,20.38
02/10/15,20.95
02/11/15,20.81
02/12/15,22.3
02/13/15,22.31
02/17/15,22.38
02/18/15,22.12
02/19/15,22.18
02/20/15,22.34
02/23/15,22.16
02/24/15,22.31
02/25/15,22.14
02/26/15,22.2
02/27/15,22.06
03/02/15,22.6
03/03/15,22.18
03/04/15,22.43
03/05/15,22.86
03/06/15,22.55
03/09/15,22.61
03/10/15,23.0
03/11/15,22.88
03/12/15,22.67
03/13/15,22.7
03/16/15,22.97
03/17/15,23.25
03/18/15,22.87
03/19/15,23.22
03/20/15,23.47
03/23/15,22.71
03/24/15,22.4
03/25/15,21.04
03/26/15,20.96
03/27/15,21.38
03/30/15,21.47
03/31/15,20.92
04/01/15,21.01
04/02/15,21.06
04/06/15,21.66
04/07/15,21.86
04/08/15,22.02
04/09/15,22.52
04/10/15,22.76
04/13/15,22.55
04/14/15,22.36
04/15/15,22.63
04/16/15,22.49
04/17/15,22.2
04/20/15,22.09
04/21/15,22.06
04/22/15,22.31
04/23/15,22.22
04/24/15,22.03
04/27/15,22.2
04/28/15,22.3
04/29/15,22.14
04/30/15,22.2
05/01/15,22.75
05/04/15,22.61
05/05/15,22.03
05/06/15,22.1
05/07/15,22.49
05/08/15,20.82
05/11/15,20.63
05/12/15,20.83
05/13/15,20.95
05/14/15,21.29
05/15/15,21.3
05/18/15,21.27
05/19/15,21.04
05/20/15,21.04
05/21/15,20.89
