date,tsla_close
05/20/14,195.3
05/21/14,199.45
05/22/14,204.88
05/23/14,207.3
05/27/14,211.56
05/28/14,210.24
05/29/14,210.24
05/30/14,207.77
06/02/14,204.7
06/03/14,204.94
06/04/14,203.99
06/05/14,206.9
06/06/14,208.17
06/09/14,205.31
06/10/14,202.3
06/11/14,204.47
06/12/14,203.52
06/13/14,206.42
06/16/14,224.61
06/17/14,231.67
06/18/14,227.12
06/19/14,227.79
06/20/14,229.59
06/23/14,237.22
06/24/14,232.5
06/25/14,236.89
06/26/14,235.6
06/27/14,239.06
06/30/14,240.06
07/01/14,239.72
07/02/14,229.42
07/03/14,229.25
07/07/14,222.66
07/08/14,219.07
07/09/14,223.06
07/10/14,219.46
07/11/14,218.13
07/14/14,226.7
07/15/14,219.58
07/16/14,217.16
07/17/14,215.4
07/18/14,220.02
07/21/14,220.54
07/22/14,219.58
07/23/14,222.49
07/24/14,223.54
07/25/14,223.57
07/28/14,224.82
07/29/14,225.01
07/30/14,228.92
07/31/14,223.3
08/01/14,233.27
08/04/14,238.52
08/05/14,238.49
08/06/14,248.93
08/07/14,252.39
08/08/14,248.13
08/11/14,259.32
08/12/14,259.96
08/13/14,260.31
08/14/14,261.38
08/15/14,262.01
08/18/14,259.94
08/19/14,256.76
08/20/14,255.71
08/21/14,254.34
08/22/14,256.78
08/25/14,262.55
08/26/14,261.74
08/27/14,263.25
08/28/14,263.86
08/29/14,269.7
09/02/14,284.12
09/03/14,281.19
09/04/14,286.04
09/05/14,277.39
09/08/14,282.11
09/09/14,278.48
09/10/14,281.1
09/11/14,280.31
09/12/14,279.2
09/15/14,253.86
09/16/14,260.74
09/17/14,261.38
09/18/14,263.82
09/19/14,259.32
09/22/14,250.03
09/23/14,250.41
09/24/14,252.14
09/25/14,246.95
09/26/14,246.6
09/29/14,245.26
09/30/14,242.68
10/01/14,240.24
10/02/14,251.42
10/03/14,255.21
10/06/14,260.62
10/07/14,259.57
10/08/14,259.28
10/09/14,257.01
10/10/14,236.91
10/13/14,224.59
10/14/14,227.06
10/15/14,229.7
10/16/14,226.35
10/17/14,227.48
10/20/14,230.47
