date,close,volume,open,high,low
8/3/09,23.7757,98285279,23.6014,23.8057,23.5529
8/4/09,23.65,98772690,23.5614,23.6529,23.4586
8/5/09,23.5871,105581942,23.6786,23.9128,23.4586
8/6/09,23.4157,85271156,23.6543,23.7871,23.2986
8/7/09,23.6443,96727219,23.6414,23.8,23.5429
8/10/09,23.5314,75012793,23.6657,23.8,23.38
8/11/09,23.2614,88730277,23.3843,23.4829,23.1257
8/12/09,23.6157,110976633,23.2214,23.8157,23.2086
8/13/09,24.06,109916973,23.8071,24.0957,23.7857
8/14/09,23.8257,76389693,23.9914,24.0324,23.6471
8/17/09,22.7986,130749329,23.3643,23.37,22.7743
8/18/09,23.4286,106128642,23.09,23.4629,23.0586
8/19/09,23.5143,103001321,23.25,23.6143,23.2071
8/20/09,23.7614,85380706,23.5686,23.8171,23.5157
8/21/09,24.1743,103799531,23.95,24.1957,23.8286
8/24/09,24.1514,101534400,24.3028,24.3871,24.0386
8/25/09,24.2,80906584,24.2086,24.42,24.1614
8/26/09,23.9157,75810303,24.1314,24.2214,23.8228
8/27/09,24.2071,111932414,24.1071,24.2243,23.5471
8/28/09,24.2928,113355444,24.61,24.6414,24.0757
8/31/09,24.03,77698483,24.0228,24.1214,23.7857
9/1/09,23.614,117083715,23.9986,24.2857,23.5629
9/2/09,23.5971,90989317,23.5171,23.9443,23.4443
9/3/09,23.7929,73447592,23.7771,23.8714,23.5714
9/4/09,24.33,93309888,23.8966,24.3857,23.87
9/8/09,24.7043,78524974,24.7114,24.7343,24.5714
9/9/09,24.4486,202624511,24.6828,24.9243,24.2428
9/10/09,24.6514,122612107,24.58,24.75,24.4014
9/11/09,24.5943,87108026,24.7014,24.74,24.41
9/14/09,24.8171,80383404,24.4043,24.8428,24.3214
9/15/09,25.0228,103726871,24.8628,25.0928,24.7986
9/16/09,25.9814,187437586,25.4271,26.1071,25.4114
9/17/09,26.3643,202182601,25.9971,26.6843,25.9957
9/18/09,26.4314,150314055,26.5471,26.65,26.3943
9/21/09,26.2886,109290683,26.3271,26.4514,25.9457
9/22/09,26.3543,89155457,26.4557,26.4828,26.1214
9/23/09,26.5,147927824,26.4857,26.9857,26.4328
9/24/09,26.26,137146491,26.7428,26.8143,26.11
9/25/09,26.0528,111258383,26.0014,26.5,25.92
9/28/09,26.5931,84275265,26.2671,26.6686,26.19
9/29/09,26.4828,86193756,26.6757,26.7714,26.33
9/30/09,26.4786,134783220,26.59,26.6357,26.0875
10/1/09,25.8371,130857059,26.4786,26.6028,25.8143
10/2/09,26.4143,138167581,25.9157,26.5628,25.9071
10/5/09,26.5748,105618342,26.6,26.6943,26.3243
10/6/09,27.1443,150950285,26.82,27.1443,26.7571
10/7/09,27.1786,116159085,27.1086,27.2214,27.0046
10/8/09,27.0386,109314133,27.2371,27.35,26.9843
10/9/09,27.21,73239202,26.9957,27.2428,26.9457
10/12/09,27.2586,71985082,27.2886,27.3586,27.0914
10/13/09,27.1457,86349156,27.2328,27.31,27.1
10/14/09,27.3271,93807028,27.4643,27.4743,27.1757
10/15/09,27.2228,93217068,27.09,27.2743,27.0757
10/16/09,26.8643,106997762,27.05,27.1943,26.8343
10/19/09,27.1228,223971717,26.8357,27.1428,26.5071
10/20/09,28.3943,283171645,28.6571,28.8214,28.2643
10/21/09,29.2743,297780229,28.5028,29.8157,28.4614
10/22/09,29.3143,197585279,29.2428,29.6928,28.93
10/23/09,29.1343,104997091,29.3857,29.4,29.0328
10/26/09,28.9257,120323596,29.0957,29.5357,28.5857
10/27/09,28.1957,188494237,28.8086,28.9728,28.0643
10/28/09,27.4857,203838171,28.2443,28.2886,27.3
10/29/09,28.05,142328523,27.8571,28.1157,27.4486
10/30/09,26.9286,178927334,28.008,28.1143,26.5809
11/2/09,27.0443,169589051,27.1143,27.5543,26.51
11/3/09,26.9643,129766809,26.8357,27.0743,26.56
11/4/09,27.2586,121780787,27.2471,27.6928,27.1757
11/5/09,27.7186,95468409,27.4857,27.8571,27.4028
11/6/09,27.7628,72991822,27.5014,27.8843,27.4857
11/9/09,28.78,131522059,28.1343,28.8428,28.0371
11/10/09,28.9971,100095830,28.7171,29.2828,28.7157
11/11/09,29.0357,110939183,29.2228,29.2857,28.8328
11/12/09,28.8557,89530587,29.02,29.2671,28.7757
11/13/09,29.2071,85438596,28.9814,29.2614,28.8671
11/16/09,29.5186,120381976,29.3543,29.7143,29.2871
11/17/09,29.5714,98972890,29.44,29.6343,29.2857
11/18/09,29.4228,93398578,29.5057,29.5714,29.1428
11/19/09,28.6443,134796450,29.23,29.23,28.5428
11/20/09,28.56,101636880,28.45,28.6271,28.2514
11/23/09,29.4114,118458796,29,29.4286,28.9928
11/24/09,29.2057,79299524,29.3328,29.4114,28.9857
