date,HD
5/14/19,191.62
5/13/19,190.34
5/10/19,194.58
5/9/19,194.58
5/8/19,195.17
5/7/19,194.77
5/6/19,199.63
5/3/19,200.56
5/2/19,201.01
5/1/19,198.8
4/30/19,203.7
4/29/19,202.16
4/26/19,203.61
4/25/19,206.5
4/24/19,206.72
4/23/19,206.05
4/22/19,204.78
4/18/19,205.66
4/17/19,206.55
4/16/19,204.47
4/15/19,204.86
4/12/19,203.85
4/11/19,201.48
4/10/19,199.43
4/9/19,200.9
4/8/19,203.55
4/5/19,202.06
4/4/19,200.45
4/3/19,198.61
4/2/19,194.31
4/1/19,195.64
3/29/19,191.89
3/28/19,190.06
3/27/19,189.25
3/26/19,189.34
3/25/19,189.68
3/22/19,188.75
3/21/19,189.97
3/20/19,186.1
3/19/19,184.13
3/18/19,183.42
3/15/19,182.23
3/14/19,181.61
3/13/19,181.14
3/12/19,184
3/11/19,182.44
3/8/19,181.23
3/7/19,182.51
3/6/19,184.45
3/5/19,184
3/4/19,183.81
3/1/19,185.17
2/28/19,185.14
2/27/19,183.67
2/26/19,188.3
2/25/19,189.98
2/22/19,192.39
2/21/19,191.82
2/20/19,191.85
2/19/19,192.33
2/15/19,192.39
2/14/19,187.71
2/13/19,188.41
2/12/19,185.52
2/11/19,182.92
2/8/19,184.54
2/7/19,184.07
2/6/19,184.72
2/5/19,186.39
2/4/19,186.43
2/1/19,184.37
1/31/19,183.53
1/30/19,182.18
1/29/19,179.69
1/28/19,179.83
1/25/19,180.4
1/24/19,177.29
1/23/19,176.89
1/22/19,177.11
1/18/19,179.58
1/17/19,174.87
1/16/19,177.04
1/15/19,176.47
1/14/19,178.81
1/11/19,179.41
1/10/19,179.06
1/9/19,179.73
1/8/19,177.89
1/7/19,177.04
1/4/19,173.62
1/3/19,168.61
1/2/19,172.41
12/31/18,171.82
12/28/18,170.22
12/27/18,170.32
12/26/18,168.28
12/24/18,158.14
12/21/18,160.48
12/20/18,164.16
12/19/18,167.56
12/18/18,170.04
12/17/18,167.97
12/14/18,172.29
12/13/18,173.87
12/12/18,174.21
12/11/18,172.21
12/10/18,171.69
12/7/18,172.79
12/6/18,175.96
12/4/18,175.3
12/3/18,181.74
11/30/18,180.32
11/29/18,175.66
11/28/18,177.43
11/27/18,173.22
11/26/18,169.82
11/23/18,168.85
11/21/18,169.3
11/20/18,169.05
11/19/18,173.59
11/16/18,177.02
11/15/18,177.36
11/14/18,179.9
11/13/18,179
11/12/18,179.43
11/9/18,185.99
11/8/18,188
11/7/18,187.23
11/6/18,182.01
11/5/18,182.19
11/2/18,179.93
11/1/18,180.46
10/31/18,175.88
10/30/18,176.24
10/29/18,173.2
10/26/18,172.23
10/25/18,179.07
10/24/18,176.97
10/23/18,178.53
10/22/18,178.75
10/19/18,179.85
10/18/18,180.44
10/17/18,185.17
10/16/18,193.58
10/15/18,191.17
10/12/18,192.47
10/11/18,189.74
10/10/18,193.7
10/9/18,195.75
10/8/18,198.41
10/5/18,196.38
10/4/18,198.85
10/3/18,203.74
10/2/18,204.75
10/1/18,207.6
9/28/18,207.15
9/27/18,206.84
9/26/18,207.52
9/25/18,207.46
9/24/18,207.99
9/21/18,212.39
9/20/18,211.06
9/19/18,211.68
9/18/18,211.02
9/17/18,208.4
9/14/18,209.07
9/13/18,209.45
9/12/18,211.98
9/11/18,213.85
9/10/18,210.69
9/7/18,206.23
9/6/18,205.89
9/5/18,204.15
9/4/18,205.08
8/31/18,200.77
8/30/18,199.26
8/29/18,201.68
8/28/18,201.97
8/27/18,201.98
8/24/18,201.3
8/23/18,200.16
8/22/18,198.97
8/21/18,200.23
8/20/18,197.93
8/17/18,195.56
8/16/18,195.39
8/15/18,193.99
8/14/18,193.1
8/13/18,194.14
8/10/18,196.3
8/9/18,198.08
8/8/18,198.02
8/7/18,197.05
8/6/18,195.69
8/3/18,195.64
8/2/18,195.66
8/1/18,196.3
7/31/18,197.52
7/30/18,197.28
7/27/18,197.14
7/26/18,199.4
7/25/18,201
7/24/18,201.99
7/23/18,202.23
7/20/18,202.45
7/19/18,202.63
7/18/18,200.97
7/17/18,201.1
7/16/18,198.88
7/13/18,198.69
7/12/18,197.95
7/11/18,196.95
7/10/18,197.61
7/9/18,196.08
7/6/18,194.48
7/5/18,194.41
7/3/18,193.62
7/2/18,194.02
6/29/18,195.1
6/28/18,195.21
6/27/18,195.02
6/26/18,196.36
6/25/18,196.38
6/22/18,197.41
6/21/18,200.31
6/20/18,199.08
6/19/18,199.21
6/18/18,200.69
6/15/18,200.54
6/14/18,199.67
6/13/18,200.31
6/12/18,201.31
6/11/18,199.64
6/8/18,198.33
6/7/18,196.17
6/6/18,193.59
6/5/18,191.94
6/4/18,191.36
6/1/18,187.35
5/31/18,186.55
5/30/18,187.09
5/29/18,185
5/25/18,186.85
5/24/18,187.15
5/23/18,186.67
5/22/18,186.87
5/21/18,189.79
5/18/18,187.42
5/17/18,185.33
5/16/18,186.38
5/15/18,187.98
5/14/18,191.08
5/11/18,190.31
5/10/18,187.16
5/9/18,186.36
5/8/18,185.04
5/7/18,183.56
5/4/18,185.03
5/3/18,183.19
5/2/18,185.91
5/1/18,184.63
4/30/18,184.8
4/27/18,186.46
4/26/18,185.72
4/25/18,177.39
4/24/18,176.26
4/23/18,177.66
4/20/18,177.01
4/19/18,177.08
4/18/18,179.85
4/17/18,174.91
4/16/18,174.43
4/13/18,172.8
4/12/18,173.36
4/11/18,172.86
4/10/18,173.49
4/9/18,172.51
4/6/18,174.45
4/5/18,179.13
4/4/18,177.44
4/3/18,173.76
4/2/18,172.9
3/29/18,178.24
3/28/18,174.76
3/27/18,174.68
3/26/18,176.38
3/23/18,171.8
3/22/18,175.29
3/21/18,178.02
3/20/18,178.16
3/19/18,177.1
3/16/18,178.96
3/15/18,178.07
3/14/18,177.41
3/13/18,178.35
3/12/18,179.71
3/9/18,182.16
3/8/18,177.94
3/7/18,178.58
3/6/18,181.64
3/5/18,181.74
3/2/18,178.46
3/1/18,179.64
2/28/18,182.27
2/27/18,184.98
2/26/18,188.46
2/23/18,188.35
2/22/18,185.47
2/21/18,183.06
2/20/18,186.71
2/16/18,186.97
2/15/18,185.27
2/14/18,184.69
2/13/18,183.72
2/12/18,184.06
2/9/18,184.12
2/8/18,181.22
2/7/18,191.29
2/6/18,191.04
2/5/18,183.11
2/2/18,193.97
2/1/18,199.9
1/31/18,200.9
1/30/18,201.81
1/29/18,204.92
1/26/18,207.23
1/25/18,205.37
1/24/18,206.22
1/23/18,204.9
1/22/18,204.46
1/19/18,201.33
1/18/18,198.33
1/17/18,199.82
1/16/18,196.31
1/12/18,196.42
1/11/18,194.68
1/10/18,191.8
1/9/18,193.1
1/8/18,192.04
1/5/18,192.5
1/4/18,190.51
1/3/18,189.01
1/2/18,188.03
12/29/17,189.53
12/28/17,189.78
12/27/17,190.19
12/26/17,190.36
12/22/17,188.13
12/21/17,188.08
12/20/17,187.31
12/19/17,185.98
12/18/17,184.73
12/15/17,182.58
12/14/17,182.13
12/13/17,183.03
12/12/17,181.8
12/11/17,182.25
12/8/17,183.41
12/7/17,182
12/6/17,180.8
12/5/17,182.85
12/4/17,184.9
12/1/17,180.42
11/30/17,179.82
11/29/17,177.25
11/28/17,176.57
11/27/17,174.16
11/24/17,172.33
11/22/17,172.06
11/21/17,172.86
11/20/17,170.45
11/17/17,167.74
11/16/17,167.5
11/15/17,165.47
11/14/17,168.06
11/13/17,165.35
11/10/17,164.11
