date,INTC
5/14/19,45.17
5/13/19,44.76
5/10/19,46.2
5/9/19,46.62
5/8/19,49.24
5/7/19,50.48
5/6/19,51.22
5/3/19,51.75
5/2/19,50.55
5/1/19,50.76
4/30/19,51.04
4/29/19,51.11
4/26/19,52.43
4/25/19,57.61
4/24/19,58.72
4/23/19,58.78
4/22/19,58.82
4/18/19,58.49
4/17/19,58.56
4/16/19,56.71
4/15/19,56.28
4/12/19,56.42
4/11/19,55.8
4/10/19,55.75
4/9/19,55.32
4/8/19,55.68
4/5/19,55.6
4/4/19,55.92
4/3/19,55.48
4/2/19,54.36
4/1/19,54.51
3/29/19,53.7
3/28/19,53.11
3/27/19,53.16
3/26/19,53.44
3/25/19,52.78
3/22/19,53.26
3/21/19,54.64
3/20/19,53.82
3/19/19,54.17
3/18/19,54.1
3/15/19,54.33
3/14/19,53.44
3/13/19,54.37
3/12/19,53.57
3/11/19,53.35
3/8/19,52.48
3/7/19,52.6
3/6/19,52.95
3/5/19,53.68
3/4/19,53.94
3/1/19,53.3
2/28/19,52.96
2/27/19,53.24
2/26/19,53.23
2/25/19,53.1
2/22/19,52.49
2/21/19,51.41
2/20/19,51.39
2/19/19,51.4
2/15/19,51.66
2/14/19,50.81
2/13/19,50.47
2/12/19,50.01
2/11/19,48.77
2/8/19,48.84
2/7/19,49.23
2/6/19,49.9
2/5/19,50.01
2/4/19,49.22
2/1/19,48.73
1/31/19,47.12
1/30/19,47.54
1/29/19,46.54
1/28/19,46.71
1/25/19,47.04
1/24/19,49.76
1/23/19,47.94
1/22/19,48.27
1/18/19,49.19
1/17/19,48.47
1/16/19,48.13
1/15/19,48.6
1/14/19,48.35
1/11/19,48.93
1/10/19,48.56
1/9/19,48.01
1/8/19,47.74
1/7/19,47.44
1/4/19,47.22
1/3/19,44.49
1/2/19,47.08
12/31/18,46.93
12/28/18,46.75
12/27/18,46.36
12/26/18,46.19
12/24/18,43.59
12/21/18,44.84
12/20/18,45.54
12/19/18,45.57
12/18/18,47.74
12/17/18,47.08
12/14/18,47.86
12/13/18,48.29
12/12/18,47.83
12/11/18,47.38
12/10/18,47.21
12/7/18,46.24
12/6/18,48.37
12/4/18,47.75
12/3/18,50.13
11/30/18,49.31
11/29/18,47.7
11/28/18,48.86
11/27/18,48.07
11/26/18,47.45
11/23/18,46.54
11/21/18,47.03
11/20/18,47.39
11/19/18,48
11/16/18,48.83
11/15/18,48.11
11/14/18,47.09
11/13/18,47.39
11/12/18,46.65
11/9/18,48.11
11/8/18,48.99
11/7/18,48.72
11/6/18,47.25
11/5/18,47.97
11/2/18,47.11
11/1/18,48.22
10/31/18,46.88
10/30/18,47.76
10/29/18,45.4
10/26/18,45.69
10/25/18,44.31
10/24/18,42.42
10/23/18,44.5
10/22/18,45.01
10/19/18,44
10/18/18,44.97
10/17/18,45.89
10/16/18,45.94
10/15/18,44.53
10/12/18,44.88
10/11/18,44.23
10/10/18,44.8
10/9/18,46.55
10/8/18,47.03
10/5/18,47.03
10/4/18,48.13
10/3/18,48.76
10/2/18,48.1
10/1/18,46.45
9/28/18,47.29
9/27/18,45.88
9/26/18,45.7
9/25/18,45.91
9/24/18,46.91
9/21/18,46.66
9/20/18,47.2
9/19/18,46.15
9/18/18,46.1
9/17/18,45.42
9/14/18,45.54
9/13/18,45.57
9/12/18,44.93
9/11/18,44.93
9/10/18,46.3
9/7/18,46.45
9/6/18,47.26
9/5/18,47.72
9/4/18,47.96
8/31/18,48.43
8/30/18,48.24
8/29/18,48.75
8/28/18,48.57
8/27/18,48.35
8/24/18,47.66
8/23/18,46.98
8/22/18,47.05
8/21/18,47.62
8/20/18,46.5
8/17/18,47.1
8/16/18,47.17
8/15/18,47.46
8/14/18,48.12
8/13/18,48.45
8/10/18,48.85
8/9/18,50.14
8/8/18,49.96
8/7/18,49.7
8/6/18,49.3
8/3/18,49.63
8/2/18,49.48
8/1/18,48.81
7/31/18,48.1
7/30/18,47.69
7/27/18,47.68
7/26/18,52.16
7/25/18,52.43
7/24/18,52.18
7/23/18,52.31
7/20/18,51.91
7/19/18,51.98
7/18/18,51.72
7/17/18,51.75
7/16/18,52.01
7/13/18,52.22
7/12/18,52.35
7/11/18,51.2
7/10/18,52.16
7/9/18,51.86
7/6/18,51.37
7/5/18,50.75
7/3/18,49.47
7/2/18,50.2
6/29/18,49.71
6/28/18,49.25
6/27/18,48.76
6/26/18,49.67
6/25/18,50.71
6/22/18,52.5
6/21/18,52.19
6/20/18,53.46
6/19/18,52.93
6/18/18,53.22
6/15/18,55.11
6/14/18,55.54
6/13/18,55.03
6/12/18,54.82
6/11/18,54.52
6/8/18,55.05
6/7/18,55.88
6/6/18,57.03
6/5/18,56.53
6/4/18,56.83
6/1/18,57.08
5/31/18,55.2
5/30/18,55.68
5/29/18,55.32
5/25/18,55.44
5/24/18,54.75
5/23/18,55.21
5/22/18,54.45
5/21/18,54.32
5/18/18,53.5
5/17/18,54.81
5/16/18,54.64
5/15/18,53.92
5/14/18,54.9
5/11/18,54.67
5/10/18,54.98
5/9/18,54.34
5/8/18,53.63
5/7/18,53.33
5/4/18,52.78
5/3/18,52.28
5/2/18,52.31
5/1/18,53.33
4/30/18,51.62
4/27/18,52.73
4/26/18,53.05
4/25/18,51.38
4/24/18,51.45
4/23/18,51.1
4/20/18,51.53
4/19/18,52.22
4/18/18,53.61
4/17/18,53.54
4/16/18,52.4
4/13/18,51.86
4/12/18,52.72
4/11/18,51.1
4/10/18,51.27
4/9/18,49.55
4/6/18,48.79
4/5/18,50.38
4/4/18,49.99
4/3/18,49.75
4/2/18,48.92
3/29/18,52.08
3/28/18,49.6
3/27/18,51.19
3/26/18,52.48
3/23/18,49.36
3/22/18,50.83
3/21/18,51.56
3/20/18,51.55
3/19/18,50.83
3/16/18,51.17
3/15/18,50.88
3/14/18,51.86
3/13/18,51.78
3/12/18,51.52
3/9/18,52.19
3/8/18,50.74
3/7/18,51.32
3/6/18,50.71
3/5/18,49.75
3/2/18,48.98
3/1/18,47.84
2/28/18,49.29
2/27/18,49.91
2/26/18,49.11
2/23/18,47.73
2/22/18,45.8
2/21/18,45.94
2/20/18,46.32
2/16/18,45.56
2/15/18,45.92
2/14/18,45.38
2/13/18,44.46
2/12/18,44.83
2/9/18,43.95
2/8/18,42.75
2/7/18,45.2
2/6/18,44.91
2/5/18,44.52
2/2/18,46.15
2/1/18,47.65
1/31/18,48.14
1/30/18,48.79
1/29/18,49.98
1/26/18,50.08
1/25/18,45.3
1/24/18,45.51
1/23/18,46.06
1/22/18,45.75
1/19/18,44.82
1/18/18,44.48
1/17/18,44.39
1/16/18,43.14
1/12/18,43.24
1/11/18,43.41
1/10/18,42.5
1/9/18,43.62
1/8/18,44.74
1/5/18,44.74
1/4/18,44.43
1/3/18,45.26
1/2/18,46.85
12/29/17,46.16
12/28/17,46.22
12/27/17,46.11
12/26/17,46.08
12/22/17,46.7
12/21/17,46.76
12/20/17,47.56
12/19/17,47.04
12/18/17,46.26
12/15/17,44.56
12/14/17,43.26
12/13/17,43.34
12/12/17,43.33
12/11/17,43.66
12/8/17,43.35
12/7/17,43.08
12/6/17,43.45
12/5/17,43.44
12/4/17,44.49
12/1/17,44.68
11/30/17,44.84
11/29/17,43.95
11/28/17,44.73
11/27/17,44.49
11/24/17,44.75
11/22/17,44.65
11/21/17,44.94
11/20/17,44.62
11/17/17,44.63
11/16/17,45.65
11/15/17,45.46
11/14/17,45.86
11/13/17,45.75
11/10/17,45.58
11/9/17,46.3
11/8/17,46.7
11/7/17,46.78
11/6/17,46.7
