date,JNJ
5/14/19,66.97
5/13/19,66.49
5/10/19,67.22
5/9/19,66.04
5/8/19,66.02
5/7/19,66.33
5/6/19,66.22
5/3/19,66.89
5/2/19,66.85
5/1/19,67.58
4/30/19,67.93
4/29/19,68.62
4/26/19,68.73
4/25/19,69.76
4/24/19,70.03
4/23/19,69.87
4/22/19,69.93
4/18/19,69.14
4/17/19,69.73
4/16/19,70.24
4/15/19,70.09
4/12/19,70.6
4/11/19,70.04
4/10/19,69.81
4/9/19,69.87
4/8/19,70.52
4/5/19,70.54
4/4/19,69.48
4/3/19,69.32
4/2/19,70.21
4/1/19,70.35
3/29/19,69.84
3/28/19,69.38
3/27/19,68.84
3/26/19,69.29
3/25/19,69.28
3/22/19,69.01
3/21/19,69.85
3/20/19,68.8
3/19/19,68.31
3/18/19,68.37
3/15/19,66.85
3/14/19,67.12
3/13/19,67.31
3/12/19,66.75
3/11/19,66.29
3/8/19,65.58
3/7/19,65.89
3/6/19,65.43
3/5/19,65.95
3/4/19,65.9
3/1/19,65.87
2/28/19,64.26
2/27/19,65.15
2/26/19,64.29
2/25/19,67.65
2/22/19,67.87
2/21/19,67.8
2/20/19,68.12
2/19/19,68.58
2/15/19,67.71
2/14/19,66.68
2/13/19,66.08
2/12/19,65.21
2/11/19,65.05
2/8/19,65.02
2/7/19,65.14
2/6/19,65.77
2/5/19,66.21
2/4/19,65.99
2/1/19,65.16
1/31/19,64.21
1/30/19,64.2
1/29/19,63.6
1/28/19,62.29
1/25/19,62.44
1/24/19,62.65
1/23/19,62.55
1/22/19,62.58
1/18/19,63.19
1/17/19,61.9
1/16/19,61.17
1/15/19,60.96
1/14/19,59.37
1/11/19,59.8
1/10/19,60.04
1/9/19,59.73
1/8/19,58.87
1/7/19,57.64
1/4/19,56.65
1/3/19,54.28
1/2/19,54.41
12/31/18,53.95
12/28/18,52.98
12/27/18,53.32
12/26/18,53.7
12/24/18,50.79
12/21/18,53.9
12/20/18,54.52
12/19/18,55.89
12/18/18,56.47
12/17/18,58.6
12/14/18,60.19
