date,NVDA
5/14/19,162.04
5/13/19,158.45
5/10/19,168.82
5/9/19,170.19
5/8/19,173.92
5/7/19,173.11
5/6/19,179.85
5/3/19,183.01
5/2/19,183.19
5/1/19,180.47
4/30/19,181
4/29/19,179.33
4/26/19,178.09
4/25/19,186.91
4/24/19,191.17
4/23/19,190.67
4/22/19,188.47
4/18/19,186.3
4/17/19,187.29
4/16/19,188.21
4/15/19,184.7
4/12/19,190.01
4/11/19,191.54
4/10/19,192.1
4/9/19,189.26
4/8/19,191.79
4/5/19,190.95
4/4/19,188.26
4/3/19,188.62
4/2/19,183
4/1/19,182.28
3/29/19,179.56
3/28/19,177.25
3/27/19,176.5
3/26/19,176.87
3/25/19,173.78
3/22/19,177.5
3/21/19,183.94
3/20/19,174.4
3/19/19,175.71
3/18/19,168.95
3/15/19,169.81
3/14/19,165.56
3/13/19,168.62
3/12/19,162.52
3/11/19,161.14
3/8/19,150.64
3/7/19,149.26
3/6/19,152.05
3/5/19,156.52
3/4/19,156.78
3/1/19,156.45
2/28/19,154.26
2/27/19,155.41
2/26/19,157.1
2/25/19,158.69
2/22/19,159.19
2/21/19,155.77
2/20/19,158.55
2/19/19,156.64
2/15/19,157.34
2/14/19,154.53
2/13/19,152.88
2/12/19,151.17
2/11/19,146.45
2/8/19,148.17
2/7/19,147.42
2/6/19,153
2/5/19,149.95
2/4/19,149.18
2/1/19,144.73
1/31/19,143.75
1/30/19,137.39
1/29/19,131.6
1/28/19,138.01
1/25/19,160.15
1/24/19,157.84
1/23/19,149.29
1/22/19,148.77
1/18/19,156.93
1/17/19,151.72
1/16/19,148.84
1/15/19,149.87
1/14/19,150.44
1/11/19,148.83
1/10/19,145.23
1/9/19,142.58
1/8/19,139.83
1/7/19,143.4
1/4/19,136.19
1/3/19,127.99
1/2/19,136.22
12/31/18,133.5
12/28/18,133.65
12/27/18,131.17
12/26/18,133.1
12/24/18,127.08
12/21/18,129.57
12/20/18,135.1
12/19/18,138.51
12/18/18,146.94
12/17/18,143.58
12/14/18,146.45
12/13/18,148.89
12/12/18,148.9
12/11/18,148.19
12/10/18,151.86
12/7/18,147.61
12/6/18,158.29
12/4/18,157.11
12/3/18,170.04
11/30/18,163.43
11/29/18,157.36
11/28/18,160.07
11/27/18,153.73
11/26/18,153.05
11/23/18,145
11/21/18,144.71
11/20/18,149.08
11/19/18,144.7
11/16/18,164.43
11/15/18,202.39
11/14/18,197.19
11/13/18,199.31
11/12/18,189.54
11/9/18,205.67
11/8/18,205.99
11/7/18,213.79
11/6/18,211.06
11/5/18,211.77
11/2/18,214.92
11/1/18,218.11
10/31/18,210.83
10/30/18,203
10/29/18,185.62
10/26/18,198.29
10/25/18,207.84
10/24/18,199.41
10/23/18,221.06
10/22/18,231.22
10/19/18,229.17
10/18/18,239.53
10/17/18,243.06
10/16/18,245.83
10/15/18,235.38
10/12/18,246.54
10/11/18,235.13
10/10/18,245.69
10/9/18,265.54
10/8/18,265.77
10/5/18,269.86
10/4/18,279.29
10/3/18,286.73
10/2/18,286.48
10/1/18,289.36
9/28/18,281.02
9/27/18,267.4
9/26/18,266.92
9/25/18,268.41
9/24/18,265.7
9/21/18,263.45
9/20/18,266.28
9/19/18,271.98
9/18/18,271.02
9/17/18,273.93
9/14/18,276.43
9/13/18,271.34
9/12/18,268.2
9/11/18,272.8
9/10/18,274.73
9/7/18,271.86
9/6/18,272.72
9/5/18,278.42
9/4/18,283.7
8/31/18,280.68
8/30/18,277.81
8/29/18,278.49
8/28/18,274.38
8/27/18,275.9
8/24/18,272.22
8/23/18,266.84
8/22/18,262.82
8/21/18,253.32
8/20/18,247.84
8/17/18,244.82
8/16/18,257.44
8/15/18,259.08
8/14/18,261.43
8/13/18,256.12
8/10/18,254.79
8/9/18,256.46
8/8/18,258.42
8/7/18,256.95
8/6/18,254.03
8/3/18,252.1
8/2/18,250.62
8/1/18,246.47
7/31/18,244.86
7/30/18,244.13
7/27/18,252.02
7/26/18,254.84
7/25/18,251.87
7/24/18,248.71
7/23/18,249.41
7/20/18,250.89
7/19/18,252.03
7/18/18,251.7
7/17/18,253.69
7/16/18,248.2
7/13/18,249.32
7/12/18,251.23
7/11/18,247.53
7/10/18,253.25
7/9/18,249.25
7/6/18,247.33
7/5/18,242.73
7/3/18,236.84
7/2/18,242.24
6/29/18,236.9
6/28/18,240.86
6/27/18,235.72
6/26/18,241.99
6/25/18,239.12
6/22/18,250.95
6/21/18,257.11
6/20/18,262.31
6/19/18,260.17
6/18/18,265.09
6/15/18,265.26
6/14/18,266.91
6/13/18,262.4
6/12/18,262.58
6/11/18,260.62
6/8/18,262.28
6/7/18,262.9
6/6/18,265.15
6/5/18,265.07
6/4/18,264.85
6/1/18,257.62
5/31/18,252.19
5/30/18,252.99
5/29/18,248.59
5/25/18,249.28
5/24/18,247.69
5/23/18,247.54
5/22/18,242.7
5/21/18,244.24
5/18/18,245.94
5/17/18,247.71
5/16/18,246.01
5/15/18,245.56
5/14/18,255.36
5/11/18,254.53
5/10/18,260.13
5/9/18,255.78
5/8/18,250.4
5/7/18,248.68
5/4/18,239.06
5/3/18,232.99
5/2/18,226.31
5/1/18,227.14
4/30/18,224.9
4/27/18,226.33
4/26/18,225.22
4/25/18,216.66
4/24/18,221.2
4/23/18,223.88
4/20/18,228.71
4/19/18,229.04
4/18/18,236.37
4/17/18,237.54
4/16/18,231.49
4/13/18,231.5
4/12/18,234.6
4/11/18,226.24
4/10/18,227.91
4/9/18,215.41
4/6/18,214.25
4/5/18,221.38
4/4/18,226.24
4/3/18,225.35
4/2/18,221.05
3/29/18,231.59
3/28/18,221.35
3/27/18,225.52
3/26/18,244.48
3/23/18,232.97
3/22/18,241.85
3/21/18,248.56
3/20/18,249.58
3/19/18,241
3/16/18,250.48
3/15/18,249.34
3/14/18,248.74
3/13/18,247.71
3/12/18,249.76
3/9/18,245.33
3/8/18,241.18
3/7/18,241.84
3/6/18,242.16
3/5/18,235.65
3/2/18,236.54
3/1/18,232.21
2/28/18,242
2/27/18,246.06
