date,TSM
5/14/19,41.97
5/13/19,40.99
5/10/19,42.83
5/9/19,43.25
5/8/19,43.7
5/7/19,43.76
5/6/19,43.76
5/3/19,44.71
5/2/19,44.4
5/1/19,43.82
4/30/19,43.82
4/29/19,43.83
4/26/19,43.94
4/25/19,44.48
4/24/19,45.41
4/23/19,45.42
4/22/19,45.15
4/18/19,45.4
4/17/19,44.39
4/16/19,43.01
4/15/19,42.61
4/12/19,42.58
4/11/19,42.1
4/10/19,42.37
4/9/19,42.21
4/8/19,42.39
4/5/19,42.23
4/4/19,42.04
4/3/19,41.79
4/2/19,41.27
4/1/19,41.37
3/29/19,40.96
3/28/19,40.34
3/27/19,40.2
3/26/19,40.4
3/25/19,39.92
3/22/19,40.43
3/21/19,41.04
3/20/19,39.85
3/19/19,39.76
3/18/19,39.85
3/15/19,39.65
3/14/19,38.82
3/13/19,39.21
3/12/19,38.9
3/11/19,38.64
3/8/19,38.2
3/7/19,38.63
3/6/19,38.79
3/5/19,39.02
3/4/19,39.15
3/1/19,39.39
2/28/19,39.05
2/27/19,39.45
2/26/19,39.6
2/25/19,39.58
2/22/19,39.39
2/21/19,38.98
2/20/19,39
2/19/19,38.46
2/15/19,38.09
2/14/19,38.06
2/13/19,38.13
2/12/19,38.64
2/11/19,38.29
2/8/19,37.79
2/7/19,38.12
2/6/19,38.74
2/5/19,38.25
2/4/19,37.94
2/1/19,37.57
1/31/19,37.62
1/30/19,37.38
1/29/19,36.33
1/28/19,37.44
1/25/19,38.14
1/24/19,37.64
1/23/19,36.49
1/22/19,36.37
1/18/19,36.84
1/17/19,36.29
1/16/19,35.64
1/15/19,36.04
1/14/19,35.76
1/11/19,36.61
1/10/19,36.42
1/9/19,35.61
1/8/19,34.94
1/7/19,35.23
1/4/19,34.97
1/3/19,34.36
1/2/19,36.52
12/31/18,36.91
12/28/18,37.14
12/27/18,36.78
12/26/18,36.76
12/24/18,35.29
12/21/18,35.71
12/20/18,35.88
12/19/18,36.23
12/18/18,36.76
12/17/18,36.22
12/14/18,36.53
12/13/18,37.33
12/12/18,37.38
12/11/18,36.7
12/10/18,36.43
12/7/18,36.52
12/6/18,36.86
12/4/18,37.44
12/3/18,38.73
11/30/18,37.59
11/29/18,37.93
11/28/18,38.01
11/27/18,36.8
11/26/18,36.84
11/23/18,35.96
11/21/18,36.17
11/20/18,35.64
11/19/18,36.05
11/16/18,36.87
11/15/18,38.52
11/14/18,37.84
11/13/18,37.4
11/12/18,37.06
11/9/18,38.07
11/8/18,38.7
11/7/18,39.18
11/6/18,38.73
11/5/18,38.48
11/2/18,38.78
11/1/18,39.05
10/31/18,38.1
10/30/18,37.78
10/29/18,36.33
10/26/18,36.67
10/25/18,37.39
10/24/18,36.48
10/23/18,38
10/22/18,38.72
10/19/18,38.45
10/18/18,38.54
10/17/18,39.57
10/16/18,40.01
10/15/18,38.75
10/12/18,39.66
10/11/18,38.94
10/10/18,39.35
10/9/18,40.9
10/8/18,40.96
10/5/18,41.63
10/4/18,42.43
10/3/18,43.96
10/2/18,43.62
10/1/18,44.66
9/28/18,44.16
9/27/18,44.76
9/26/18,44.27
9/25/18,44.17
9/24/18,44.89
9/21/18,44.06
9/20/18,44.17
9/19/18,44.02
9/18/18,43.56
9/17/18,43.76
9/14/18,44.41
9/13/18,43.43
9/12/18,43.94
9/11/18,44.55
9/10/18,44.62
9/7/18,44.88
9/6/18,44.05
9/5/18,44.22
9/4/18,44.11
8/31/18,43.6
8/30/18,43.46
8/29/18,44.13
8/28/18,42.35
8/27/18,41.53
8/24/18,41.24
8/23/18,40.68
8/22/18,40.9
8/21/18,40.89
8/20/18,40.1
8/17/18,40.13
8/16/18,40.41
8/15/18,40.45
8/14/18,40.91
8/13/18,40.71
8/10/18,41.03
8/9/18,41.84
8/8/18,41.97
8/7/18,41.24
8/6/18,41.07
8/3/18,41.69
8/2/18,41.55
8/1/18,41.71
7/31/18,41.21
7/30/18,41.09
7/27/18,41.45
7/26/18,40.82
7/25/18,40.89
7/24/18,40.39
7/23/18,40.74
7/20/18,40.73
7/19/18,39.81
7/18/18,38.41
7/17/18,38.04
7/16/18,37.79
7/13/18,37.77
7/12/18,37.31
7/11/18,36.97
7/10/18,37.93
7/9/18,37.83
7/6/18,37.27
7/5/18,36.59
7/3/18,36.39
7/2/18,36.54
6/29/18,36.56
6/28/18,35.94
6/27/18,35.51
6/26/18,36.46
6/25/18,36.51
6/22/18,38.12
6/21/18,37.62
6/20/18,38.35
6/19/18,37.56
6/18/18,38.25
6/15/18,38.69
6/14/18,38.6
6/13/18,39.05
6/12/18,39.2
6/11/18,38.76
6/8/18,38.93
6/7/18,39.52
6/6/18,39.56
6/5/18,39.54
6/4/18,39.97
6/1/18,39.2
5/31/18,38.7
5/30/18,38.34
5/29/18,38.16
5/25/18,39.3
5/24/18,39.27
5/23/18,39.65
5/22/18,39.64
5/21/18,39.47
5/18/18,38.42
5/17/18,38.96
5/16/18,39.79
5/15/18,39.3
5/14/18,39.95
5/11/18,39.91
5/10/18,39.77
5/9/18,39.35
5/8/18,39.18
5/7/18,38.45
5/4/18,38.59
5/3/18,38.1
5/2/18,37.75
5/1/18,38.93
4/30/18,38.45
4/27/18,38.17
4/26/18,38.17
4/25/18,38.17
4/24/18,38.75
4/23/18,38.75
4/20/18,38.95
4/19/18,39.53
4/18/18,41.92
4/17/18,42.31
4/16/18,42.87
4/13/18,42.65
4/12/18,43.85
4/11/18,43.38
4/10/18,43.58
4/9/18,43.07
4/6/18,42.42
4/5/18,43.32
4/4/18,43.94
4/3/18,43.48
4/2/18,42.5
3/29/18,43.76
3/28/18,42.69
3/27/18,43.29
3/26/18,44.27
3/23/18,42.58
3/22/18,43.69
3/21/18,44.7
3/20/18,44.83
3/19/18,44.6
3/16/18,44.97
3/15/18,45.31
3/14/18,45.15
3/13/18,44.99
3/12/18,45.22
3/9/18,44.59
3/8/18,43.8
3/7/18,44.2
3/6/18,43.54
3/5/18,43.49
3/2/18,43.01
3/1/18,42.72
2/28/18,43.35
2/27/18,43.62
2/26/18,44.41
2/23/18,43.9
2/22/18,42.39
2/21/18,42.89
2/20/18,43.74
2/16/18,43.48
2/15/18,43.52
2/14/18,43.05
2/13/18,42.38
2/12/18,42.53
2/9/18,41.47
2/8/18,40.36
2/7/18,41.88
2/6/18,43.59
2/5/18,42.95
2/2/18,44.51
2/1/18,45.45
1/31/18,45.31
1/30/18,44.88
1/29/18,45.4
1/26/18,45.72
1/25/18,45.1
1/24/18,45.33
1/23/18,46.28
1/22/18,46.38
1/19/18,44.67
1/18/18,44.57
1/17/18,43.13
1/16/18,42.23
1/12/18,41.19
1/11/18,41.03
1/10/18,41.3
1/9/18,42.18
1/8/18,42.44
1/5/18,42.46
1/4/18,41.49
1/3/18,41.71
1/2/18,41.02
12/29/17,39.65
12/28/17,39.74
12/27/17,39.08
12/26/17,38.95
12/22/17,39.63
12/21/17,39.23
12/20/17,39.44
12/19/17,39.34
12/18/17,39.4
12/15/17,39.5
12/14/17,39.4
12/13/17,39.29
12/12/17,39.3
12/11/17,39.37
12/8/17,39
12/7/17,39.01
12/6/17,38.68
12/5/17,39.2
12/4/17,39.39
12/1/17,39.7
11/30/17,39.6
11/29/17,39.41
11/28/17,40.93
11/27/17,41.09
11/24/17,42.99
11/22/17,42.41
11/21/17,42.58
11/20/17,42.21
11/17/17,42.07
11/16/17,42.1
11/15/17,41.54
11/14/17,41.86
11/13/17,42.01
11/10/17,41.72
11/9/17,41.64
11/8/17,42.43
11/7/17,42.51
11/6/17,42.43
11/3/17,42.19
11/2/17,42.15
11/1/17,42.1
10/31/17,42.33
10/30/17,42.13
10/27/17,42.15
10/26/17,41.2
10/25/17,41.16
10/24/17,41.32
10/23/17,41.21
10/20/17,41.12
10/19/17,41.07
10/18/17,41.5
10/17/17,41.25
10/16/17,40.89
10/13/17,40.82
10/12/17,40.44
10/11/17,40.35
10/10/17,38.97
10/9/17,38.77
10/6/17,38.46
10/5/17,38.46
10/4/17,38.27
10/3/17,38.44
10/2/17,38.13
9/29/17,37.55
9/28/17,37.05
9/27/17,37.25
9/26/17,37.14
9/25/17,37.07
9/22/17,37.77
9/21/17,38.24
9/20/17,37.82
9/19/17,38.3
9/18/17,38.07
9/15/17,37.65
9/14/17,37.38
9/13/17,37.53
9/12/17,37.86
9/11/17,37.84
9/8/17,37.5
9/7/17,37.54
9/6/17,37.27
9/5/17,36.85
9/1/17,37.22
8/31/17,36.97
8/30/17,36.93
8/29/17,36.88
8/28/17,36.77
8/25/17,36.85
8/24/17,36.83
8/23/17,36.58
8/22/17,36.52
8/21/17,35.98
8/18/17,35.86
8/17/17,35.79
8/16/17,36.34
8/15/17,36.42
8/14/17,36.05
8/11/17,36.14
8/10/17,35.34
8/9/17,36.46
8/8/17,36.7
8/7/17,36.79
8/4/17,36.03
8/3/17,35.79
8/2/17,36.07
8/1/17,35.84
7/31/17,35.96
7/28/17,35.86
7/27/17,36.18
7/26/17,36.22
7/25/17,36.1
7/24/17,36.22
7/21/17,35.85
7/20/17,36.1
7/19/17,36.41
7/18/17,35.87
7/17/17,35.91
7/14/17,36.25
7/13/17,36.15
7/12/17,35.69
7/11/17,35.38
7/10/17,35
7/7/17,34.63
7/6/17,34.5
7/5/17,34.82
7/3/17,34.88
6/30/17,34.96
6/29/17,34.81
6/28/17,35.35
6/27/17,35.09
6/26/17,36.13
6/23/17,36.73
6/22/17,36.71
6/21/17,36.71
6/20/17,36.13
6/19/17,36.21
6/16/17,35.87
6/15/17,35.44
6/14/17,35.65
6/13/17,35.56
6/12/17,35.24
6/9/17,35.79
6/8/17,36.83
6/7/17,36.46
6/6/17,36.43
6/5/17,36.39
6/2/17,36.18
6/1/17,35.89
5/31/17,35.36
5/30/17,35.78
5/26/17,35.51
5/25/17,35.57
5/24/17,35.52
5/23/17,35.4
5/22/17,35.4
5/19/17,35.2
5/18/17,34.9
5/17/17,34.42
5/16/17,35.03
5/15/17,35.06
5/12/17,35.37
5/11/17,35.56
5/10/17,35.41
5/9/17,35.41
