date,close
5/17/19,11.49
5/16/19,11.42
5/15/19,10.66
5/14/19,10.49
5/13/19,10.11
5/10/19,10.49
5/9/19,10.98
5/8/19,10.82
5/7/19,11.17
5/6/19,11.77
5/3/19,11.8
5/2/19,11.24
5/1/19,11.2
4/30/19,11.14
4/29/19,11.22
4/26/19,10.91
4/25/19,10.79
4/24/19,11.26
4/23/19,11.99
4/22/19,11.53
4/18/19,11.67
4/17/19,11.75
4/16/19,11.69
4/15/19,11.85
4/12/19,11.97
4/11/19,11.9
4/10/19,12.02
4/9/19,12.35
4/8/19,12.27
4/5/19,11.84
4/4/19,11.28
4/3/19,11.16
4/2/19,11.22
4/1/19,11.36
3/29/19,11.02
3/28/19,10.79
3/27/19,10.64
3/26/19,10.76
3/25/19,10.72
3/22/19,10.73
3/21/19,11.01
3/20/19,10.94
3/19/19,10.63
3/18/19,10.94
3/15/19,11.16
3/14/19,11.28
3/13/19,10.05
3/12/19,9.88
3/11/19,9.96
3/8/19,9.48
3/7/19,9.49
3/6/19,9.87
3/5/19,10.08
3/4/19,9.92
3/1/19,9.8
2/28/19,9.8
2/27/19,9.81
2/26/19,10.08
2/25/19,10.12
2/22/19,9.71
2/21/19,9.39
2/20/19,9.24
2/19/19,9.28
2/15/19,9.12
2/14/19,9.19
2/13/19,9.07
2/12/19,8.8
2/11/19,8.99
2/8/19,9.1
2/7/19,8.57
2/6/19,8.59
2/5/19,7.04
2/4/19,6.93
2/1/19,6.91
1/31/19,6.68
1/30/19,6.57
1/29/19,6.43
1/28/19,6.34
1/25/19,6.4
1/24/19,6.17
1/23/19,5.99
1/22/19,5.93
1/18/19,6.18
1/17/19,5.74
1/16/19,5.64
1/15/19,6.54
1/14/19,6.31
1/11/19,6.28
1/10/19,6.22
1/9/19,6.28
1/8/19,6.4
1/7/19,6.21
1/4/19,5.95
1/3/19,5.68
1/2/19,5.79
12/31/18,5.51
12/28/18,5.71
12/27/18,5.35
12/26/18,5.42
12/24/18,5.18
12/21/18,4.99
12/20/18,5.07
12/19/18,5.41
12/18/18,5.65
12/17/18,5.58
12/14/18,5.92
12/13/18,5.86
12/12/18,5.91
12/11/18,5.75
12/10/18,5.67
12/7/18,5.8
12/6/18,5.97
12/4/18,6.21
12/3/18,6.36
11/30/18,6.51
11/29/18,6.4
11/28/18,6.51
11/27/18,6.4
11/26/18,6.5
11/23/18,6.2
11/21/18,6.35
11/20/18,6.09
11/19/18,6.05
11/16/18,6.49
11/15/18,6.82
11/14/18,6.48
11/13/18,6.71
11/12/18,6.65
11/9/18,6.79
11/8/18,7.02
11/7/18,7.2
11/6/18,7.09
11/5/18,6.9
11/2/18,6.82
11/1/18,7.2
10/31/18,6.61
10/30/18,6.43
10/29/18,5.99
10/26/18,6.28
10/25/18,6.99
10/24/18,6.59
10/23/18,6.82
10/22/18,6.84
10/19/18,6.81
10/18/18,6.81
10/17/18,7.06
10/16/18,7.25
10/15/18,7.4
10/12/18,7.18
10/11/18,6.81
10/10/18,6.59
10/9/18,7
10/8/18,7.48
10/5/18,7.77
10/4/18,7.8
10/3/18,8.23
10/2/18,8.18
10/1/18,8.36
9/28/18,8.48
9/27/18,8.8
9/26/18,8.99
9/25/18,9.05
9/24/18,8.95
9/21/18,9.14
9/20/18,9.21
9/19/18,9.16
9/18/18,9.13
9/17/18,9.18
9/14/18,9.29
9/13/18,9.35
9/12/18,9.2
9/11/18,9.89
9/10/18,9.74
9/7/18,9.93
9/6/18,9.8
9/5/18,10.11
9/4/18,10.59
8/31/18,10.9
8/30/18,11.08
8/29/18,11.17
8/28/18,11.29
8/27/18,11.81
8/24/18,11.63
8/23/18,11.4
8/22/18,11.44
8/21/18,11.44
8/20/18,11.73
8/17/18,11.89
8/16/18,12.17
8/15/18,12.18
8/14/18,12.34
8/13/18,12.57
8/10/18,12.31
8/9/18,12.31
8/8/18,12.23
8/7/18,13.12
8/6/18,13.05
8/3/18,12.73
8/2/18,12.7
8/1/18,12.38
7/31/18,12.5
7/30/18,12.27
7/27/18,12.83
7/26/18,13.37
7/25/18,13.39
7/24/18,13.14
7/23/18,13.39
7/20/18,13.27
7/19/18,13.43
7/18/18,13.35
7/17/18,13.42
7/16/18,13.07
7/13/18,13.36
7/12/18,13.65
7/11/18,13.4
7/10/18,13.31
7/9/18,13.65
7/6/18,13.53
7/5/18,13.21
7/3/18,13.15
7/2/18,13.15
6/29/18,13.09
6/28/18,13.4
6/27/18,12.82
6/26/18,13
6/25/18,13.1
6/22/18,13.2
6/21/18,13.24
6/20/18,12.8
6/19/18,13.31
6/18/18,14.05
6/15/18,14.02
6/14/18,13.87
6/13/18,13.62
6/12/18,13.42
6/11/18,13.17
6/8/18,13.08
6/7/18,12.73
6/6/18,13.13
6/5/18,12.93
6/4/18,12.32
6/1/18,11.63
5/31/18,11.39
5/30/18,10.97
5/29/18,10.55
5/25/18,10.71
5/24/18,10.6
5/23/18,10.65
5/22/18,10.74
5/21/18,10.71
5/18/18,10.58
5/17/18,10.57
5/16/18,10.58
5/15/18,10.65
5/14/18,10.98
5/11/18,11.04
5/10/18,11.01
5/9/18,11.01
5/8/18,10.97
5/7/18,10.74
5/4/18,10.79
5/3/18,10.97
5/2/18,11.03
5/1/18,14.13
4/30/18,14.33
4/27/18,14.23
4/26/18,14.7
4/25/18,14.54
4/24/18,15.63
4/23/18,15.54
4/20/18,15.2
4/19/18,14.84
4/18/18,14.65
4/17/18,14.88
4/16/18,14.58
4/13/18,14.88
4/12/18,14.92
4/11/18,14.8
4/10/18,14.48
4/9/18,14.15
4/6/18,14.25
4/5/18,14.39
4/4/18,14.59
4/3/18,14.08
4/2/18,14.46
3/29/18,15.87
3/28/18,15.95
3/27/18,16.2
3/26/18,16.25
3/23/18,16.36
3/22/18,16.57
3/21/18,16.57
3/20/18,16
3/19/18,16.42
3/16/18,17.01
3/15/18,17.2
3/14/18,17.85
3/13/18,17.51
3/12/18,18.11
3/9/18,17.88
3/8/18,17.65
3/7/18,18.02
3/6/18,18.01
3/5/18,18.25
3/2/18,18.01
3/1/18,17.21
2/28/18,17.32
2/27/18,16.32
2/26/18,17.09
2/23/18,17.45
2/22/18,17.51
2/21/18,18.64
2/20/18,18.93
2/16/18,20.42
2/15/18,19.75
2/14/18,19.56
2/13/18,18.58
2/12/18,18.63
2/9/18,18.8
2/8/18,19.39
2/7/18,20.75
2/6/18,14.06
2/5/18,13.85
2/2/18,13.71
2/1/18,13.92
1/31/18,13.52
1/30/18,13.26
1/29/18,13.47
1/26/18,13.56
1/25/18,13.71
1/24/18,14.44
1/23/18,14.25
1/22/18,14.17
1/19/18,14.04
1/18/18,14.01
1/17/18,13.52
1/16/18,13.5
1/12/18,14.11
1/11/18,14.6
1/10/18,14.65
1/9/18,14.1
1/8/18,14.06
1/5/18,14.5
1/4/18,14.59
1/3/18,15.31
1/2/18,14.95
12/29/17,14.61
12/28/17,14.85
12/27/17,14.84
12/26/17,15.01
12/22/17,15.15
