date,close
5/17/19,37.5
5/16/19,38.3
5/15/19,37.9
5/14/19,36.93
5/13/19,36.59
5/10/19,38.45
5/9/19,38.79
5/8/19,38.58
5/7/19,38.62
5/6/19,40.23
5/3/19,40.8
5/2/19,39.95
5/1/19,39.29
4/30/19,39.91
4/29/19,39.78
4/26/19,38.67
4/25/19,38.48
4/24/19,39.29
4/23/19,39.77
4/22/19,34.39
4/18/19,34.4
4/17/19,34.48
4/16/19,34.46
4/15/19,34.71
4/12/19,34.37
4/11/19,34.58
4/10/19,34.75
4/9/19,35.14
4/8/19,34.86
4/5/19,34.72
4/4/19,34.42
4/3/19,34.38
4/2/19,33.75
4/1/19,33.44
3/29/19,32.88
3/28/19,32.87
3/27/19,32.28
3/26/19,33.06
3/25/19,32.59
3/22/19,33.02
3/21/19,32.61
3/20/19,32.57
3/19/19,31.27
3/18/19,31.08
3/15/19,31.22
3/14/19,31.03
3/13/19,31.3
3/12/19,31.16
3/11/19,30.87
3/8/19,30.04
3/7/19,30.12
3/6/19,30.8
3/5/19,31.03
3/4/19,30.5
3/1/19,30.62
2/28/19,30.78
2/27/19,30.41
2/26/19,31.01
2/25/19,31.99
2/22/19,31.71
2/21/19,30.76
2/20/19,31.37
2/19/19,31.65
2/15/19,31.23
2/14/19,30.96
2/13/19,31.12
2/12/19,30.39
2/11/19,30.23
2/8/19,30.01
2/7/19,30.8
2/6/19,34.16
2/5/19,34.37
2/4/19,33.94
2/1/19,33.19
1/31/19,33.56
1/30/19,32.26
1/29/19,31.64
1/28/19,33.13
1/25/19,32.9
1/24/19,31.61
1/23/19,30.97
1/22/19,32.25
1/18/19,33.27
1/17/19,32.85
1/16/19,32.47
1/15/19,33.02
1/14/19,32.37
1/11/19,32.87
1/10/19,33.09
1/9/19,32.25
1/8/19,31.8
1/7/19,31.34
1/4/19,29.95
1/3/19,27.99
1/2/19,28.81
12/31/18,28.74
12/28/18,28.43
12/27/18,28.68
12/26/18,28.66
12/24/18,26.45
12/21/18,27.31
12/20/18,29.29
12/19/18,32.93
12/18/18,33.74
12/17/18,33.43
12/14/18,35.87
12/13/18,35.89
12/12/18,36.25
12/11/18,34.45
12/10/18,33.43
12/7/18,32.83
12/6/18,32.96
12/4/18,32.56
12/3/18,33.66
11/30/18,31.45
11/29/18,31.3
11/28/18,32.73
11/27/18,32.61
11/26/18,32.82
11/23/18,31.12
11/21/18,31.61
11/20/18,31.06
11/19/18,31.98
11/16/18,33.67
11/15/18,33.15
11/14/18,32.91
11/13/18,32.49
11/12/18,32.01
11/9/18,34.08
11/8/18,34.18
11/7/18,34.99
11/6/18,34.42
11/5/18,34.02
11/2/18,34.3
11/1/18,34.62
10/31/18,34.75
10/30/18,33.86
10/29/18,32.39
10/26/18,32.36
10/25/18,31.8
10/24/18,27.54
10/23/18,28.77
10/22/18,29.18
10/19/18,28.83
10/18/18,29.29
10/17/18,29.55
10/16/18,29.87
10/15/18,28.61
10/12/18,27.99
10/11/18,27
10/10/18,26.79
10/9/18,29.27
10/8/18,28.45
10/5/18,28.39
10/4/18,28.23
10/3/18,29.01
10/2/18,28.19
10/1/18,28.31
9/28/18,28.46
9/27/18,29.42
9/26/18,29.01
9/25/18,29.11
9/24/18,28.6
9/21/18,28.5
9/20/18,29.85
9/19/18,29.52
9/18/18,29.22
9/17/18,28.86
9/14/18,30.12
9/13/18,30.39
9/12/18,29.75
9/11/18,30.89
9/10/18,30.54
9/7/18,30.49
9/6/18,30.81
9/5/18,32.73
9/4/18,34.84
8/31/18,35.18
8/30/18,35.64
8/29/18,35.35
8/28/18,35.49
8/27/18,35.89
8/24/18,34.28
8/23/18,33.88
8/22/18,33.81
8/21/18,33.69
8/20/18,32.6
8/17/18,32.73
8/16/18,32.83
8/15/18,32.38
8/14/18,33.19
8/13/18,32.8
8/10/18,32.01
8/9/18,31.96
8/8/18,31.84
8/7/18,32.67
8/6/18,32.98
8/3/18,31.96
8/2/18,32.82
8/1/18,31.91
7/31/18,31.87
7/30/18,31.38
7/27/18,34.12
7/26/18,42.94
7/25/18,44.22
7/24/18,42.17
7/23/18,43.31
7/20/18,43.42
7/19/18,43.44
7/18/18,43.34
7/17/18,44.71
7/16/18,44.26
7/13/18,44.49
7/12/18,45.26
7/11/18,43.87
7/10/18,43.75
7/9/18,44.14
7/6/18,46.65
7/5/18,45.06
7/3/18,43.89
7/2/18,44.98
6/29/18,43.67
6/28/18,44.79
6/27/18,43.7
6/26/18,44.84
6/25/18,44.17
6/22/18,45.88
6/21/18,45.24
6/20/18,46.13
6/19/18,44.95
6/18/18,46
6/15/18,45.8
6/14/18,46.76
6/13/18,44.07
6/12/18,43.49
6/11/18,41.42
6/8/18,41.21
6/7/18,39.7
6/6/18,40.1
6/5/18,39.8
6/4/18,37.88
6/1/18,36.65
5/31/18,34.7
5/30/18,34.36
5/29/18,34.04
5/25/18,33.63
5/24/18,33.52
5/23/18,33.42
5/22/18,32.86
5/21/18,33.63
5/18/18,32.63
5/17/18,32.58
5/16/18,32.77
5/15/18,32.75
5/14/18,33.39
5/11/18,32.75
5/10/18,32.87
5/9/18,32.46
5/8/18,31.85
5/7/18,31.33
5/4/18,31.04
5/3/18,30.67
5/2/18,30.55
5/1/18,30.3
4/30/18,30.31
4/27/18,29
4/26/18,30.27
4/25/18,29.75
4/24/18,30.47
4/23/18,31.22
4/20/18,31.91
4/19/18,31.54
4/18/18,31.54
4/17/18,31.84
4/16/18,28.58
4/13/18,28.76
4/12/18,29
4/11/18,29.39
4/10/18,29.53
4/9/18,28.01
4/6/18,28.1
4/5/18,28.64
4/4/18,28.25
4/3/18,27.54
4/2/18,28.04
3/29/18,29.01
3/28/18,28.45
3/27/18,28.07
3/26/18,31.91
3/23/18,31.03
3/22/18,31.2
3/21/18,32.73
3/20/18,31.35
3/19/18,34.98
3/16/18,35.58
3/15/18,35.8
3/14/18,36.6
3/13/18,34.11
3/12/18,35.5
3/9/18,35.35
3/8/18,34.85
3/7/18,35.76
3/6/18,34.43
3/5/18,34.58
3/2/18,33
3/1/18,32.24
2/28/18,31.86
2/27/18,31.32
2/26/18,32.16
2/23/18,32.66
2/22/18,32.11
2/21/18,33.38
2/20/18,32.84
2/16/18,33.06
2/15/18,33.61
2/14/18,33.75
2/13/18,33.44
2/12/18,30.95
2/9/18,31.51
2/8/18,30.18
2/7/18,26.91
2/6/18,25.24
2/5/18,25.13
2/2/18,25.92
2/1/18,27.14
1/31/18,25.81
1/30/18,25.62
1/29/18,25.18
1/26/18,24.27
1/25/18,22.16
1/24/18,22.37
1/23/18,22.75
1/22/18,23.32
1/19/18,23.66
1/18/18,24.04
1/17/18,24.56
1/16/18,24.66
1/12/18,25.41
1/11/18,24.35
1/10/18,24.25
1/9/18,24.17
1/8/18,24.59
1/5/18,24.32
1/4/18,23.99
1/3/18,24.45
1/2/18,24.51
12/29/17,24.01
12/28/17,24.31
12/27/17,24.23
12/26/17,24.26
12/22/17,24.46
12/21/17,25.05
12/20/17,25.2
12/19/17,25.08
12/18/17,24.68
12/15/17,22.23
12/14/17,22.58
12/13/17,21.66
12/12/17,21.65
12/11/17,22.05
12/8/17,21.1
12/7/17,21.01
12/6/17,21.09
12/5/17,20.77
12/4/17,20.4
12/1/17,20.71
11/30/17,20.58
11/29/17,20.79
11/28/17,21.83
11/27/17,21.82
11/24/17,22.42
11/22/17,22.27
11/21/17,21.88
11/20/17,21.13
11/17/17,20.76
11/16/17,20.36
11/15/17,19.91
11/14/17,20.05
11/13/17,20.17
11/10/17,20.32
11/9/17,19.9
11/8/17,19.59
11/7/17,19.66
11/6/17,19.39
11/3/17,19.9
11/2/17,19.71
11/1/17,20.61
10/31/17,20.62
10/30/17,21.25
10/27/17,21.68
10/26/17,20.31
10/25/17,17.14
10/24/17,17.25
10/23/17,17.37
10/20/17,17.87
