date,close
5/20/19,45.97
5/17/19,46.08
5/16/19,46.54
5/15/19,46.51
5/14/19,47.01
5/13/19,47.15
5/10/19,48.1
5/9/19,47.78
5/8/19,48.05
5/7/19,48.14
5/6/19,49.33
5/3/19,49.97
5/2/19,49.83
5/1/19,49.43
4/30/19,49.66
4/29/19,49.38
4/26/19,48.43
4/25/19,48.55
4/24/19,48.15
4/23/19,48.47
4/22/19,48.19
4/18/19,48.41
4/17/19,48.35
4/16/19,53.44
4/15/19,52.6
4/12/19,52.81
4/11/19,51.69
4/10/19,51.29
4/9/19,50.99
4/8/19,51.25
4/5/19,51.18
4/4/19,51.45
4/3/19,51.24
4/2/19,51.35
4/1/19,51.46
3/29/19,50.43
3/28/19,50.39
3/27/19,50.1
3/26/19,50.84
3/25/19,50.28
3/22/19,50.5
3/21/19,51.89
3/20/19,51.98
3/19/19,53.12
3/18/19,53.98
3/15/19,53.12
3/14/19,52.76
3/13/19,52.44
3/12/19,51.91
3/11/19,51.83
3/8/19,51.48
3/7/19,51.23
3/6/19,52.06
3/5/19,52.65
3/4/19,51.91
3/1/19,52.69
2/28/19,52.48
2/27/19,52.75
2/26/19,53.04
2/25/19,52.93
2/22/19,53.22
2/21/19,52.95
2/20/19,53.32
2/19/19,52.99
2/15/19,52.99
2/14/19,51.77
2/13/19,52.43
2/12/19,52.84
2/11/19,52.01
2/8/19,51.83
2/7/19,52.11
2/6/19,52.32
2/5/19,52.62
2/4/19,52.38
2/1/19,52.62
1/31/19,52.32
1/30/19,52.53
1/29/19,52.61
1/28/19,53.44
1/25/19,53.4
1/24/19,53.71
1/23/19,53.06
1/22/19,52.59
1/18/19,52.66
1/17/19,51.53
1/16/19,50.43
1/15/19,49.41
1/14/19,48.42
1/11/19,48.08
1/10/19,47.47
1/9/19,47.76
1/8/19,47.62
1/7/19,47.8
1/4/19,47.91
1/3/19,46.56
1/2/19,47.5
12/31/18,47.07
12/28/18,46.65
12/27/18,46.82
12/26/18,46.16
12/24/18,44.49
12/21/18,44.64
12/20/18,45.01
12/19/18,45.5
12/18/18,46.73
12/17/18,48.98
12/14/18,48.67
12/13/18,48.09
12/12/18,48.06
12/11/18,47.67
12/10/18,47.56
12/7/18,47.71
12/6/18,47.84
12/4/18,48.7
12/3/18,50.64
11/30/18,51.31
11/29/18,50.68
11/28/18,51.61
11/27/18,51.37
11/26/18,50.93
11/23/18,49.86
11/21/18,49.96
11/20/18,49.38
11/19/18,50.12
11/16/18,49.39
11/15/18,49.22
11/14/18,48.23
11/13/18,48.2
11/12/18,47.98
11/9/18,48.5
11/8/18,49.03
11/7/18,48.77
11/6/18,48.32
11/5/18,47.97
11/2/18,47.21
11/1/18,47.52
10/31/18,47.33
10/30/18,46.92
10/29/18,45.77
10/26/18,45.47
10/25/18,46.15
10/24/18,45.33
10/23/18,46.28
10/22/18,46.47
10/19/18,47.4
10/18/18,47.79
10/17/18,49.15
10/16/18,49.35
10/15/18,48.45
10/12/18,49.1
10/11/18,49.19
10/10/18,50.72
10/9/18,52.23
10/8/18,52.78
10/5/18,52.59
10/4/18,52.68
10/3/18,52.18
10/2/18,51.75
10/1/18,51.9
9/28/18,50.99
9/27/18,51.54
9/26/18,51.92
9/25/18,52.31
9/24/18,52.37
9/21/18,53.39
9/20/18,53.33
9/19/18,52.43
9/18/18,51.45
9/17/18,51.22
9/14/18,51.65
9/13/18,51.22
9/12/18,52.01
9/11/18,52.24
9/10/18,52.03
9/7/18,52.18
9/6/18,52.19
9/5/18,52.25
9/4/18,52.4
8/31/18,52.15
