date,close
5/20/19,76.66
5/17/19,78.91
5/16/19,78.9
5/15/19,77.76
5/14/19,77.06
5/13/19,76.68
5/10/19,78.42
5/9/19,77.9
5/8/19,78.05
5/7/19,77.96
5/6/19,78.06
5/3/19,78.05
5/2/19,77.47
5/1/19,77.52
4/30/19,77.68
4/29/19,76.91
4/26/19,77.45
4/25/19,77.11
4/24/19,76.39
4/23/19,75.99
4/22/19,75.4
4/18/19,76.06
4/17/19,75.12
4/16/19,75.7
4/15/19,76.16
4/12/19,76.65
4/11/19,75.87
4/10/19,75.48
4/9/19,75.12
4/8/19,75.2
4/5/19,75.03
4/4/19,74.35
4/3/19,74.33
4/2/19,74.27
4/1/19,73.96
3/29/19,74.34
3/28/19,73.96
3/27/19,72.74
3/26/19,72.96
3/25/19,72.3
3/22/19,71.96
3/21/19,72.26
3/20/19,71.63
3/19/19,71.38
3/18/19,70.84
3/15/19,70.67
3/14/19,70.74
3/13/19,70.1
3/12/19,70.05
3/11/19,69.68
3/8/19,69.36
3/7/19,70.61
3/6/19,71.27
3/5/19,71.58
3/4/19,70.95
3/1/19,70.85
2/28/19,70.26
2/27/19,70.15
2/26/19,71.14
2/25/19,71.05
2/22/19,71.3
2/21/19,70.7
2/20/19,70.39
2/19/19,70.2
2/15/19,70.71
2/14/19,70.84
2/13/19,70.51
2/12/19,69.75
2/11/19,69.99
2/8/19,69.75
2/7/19,69.14
2/6/19,68.85
2/5/19,69.34
2/4/19,67.58
2/1/19,68.11
1/31/19,68.14
1/30/19,68.15
1/29/19,67.04
1/28/19,66.9
1/25/19,67.09
1/24/19,64.74
1/23/19,66.43
1/22/19,65.39
1/18/19,64.7
1/17/19,64.28
1/16/19,63.77
1/15/19,64.08
1/14/19,63.37
1/11/19,63.73
1/10/19,64.19
1/9/19,63.88
1/8/19,63.62
1/7/19,63.57
1/4/19,63.57
1/3/19,61.53
1/2/19,64.32
12/31/18,64.4
12/28/18,63.39
12/27/18,63.2
12/26/18,63.08
12/24/18,60.56
12/21/18,61.39
12/20/18,62.15
12/19/18,64.06
12/18/18,64.92
12/17/18,64.47
12/14/18,65.34
12/13/18,66.91
12/12/18,66.13
12/11/18,65.92
12/10/18,65.49
12/7/18,65.47
12/6/18,66.55
12/4/18,66.65
12/3/18,67.5
11/30/18,66.72
11/29/18,66.88
11/28/18,66.82
11/27/18,66.08
11/26/18,65.69
11/23/18,65.7
11/21/18,66.77
11/20/18,67.18
11/19/18,67.91
11/16/18,68.16
11/15/18,67.62
11/14/18,67.04
11/13/18,67.41
11/12/18,67.91
11/9/18,68.6
11/8/18,68.72
11/7/18,68.16
11/6/18,66.01
11/5/18,64.48
11/2/18,64.32
11/1/18,58.63
10/31/18,58.27
10/30/18,58.59
10/29/18,58.37
10/26/18,58.07
10/25/18,58.96
10/24/18,58.06
10/23/18,58.81
10/22/18,58.9
10/19/18,58.66
10/18/18,58.64
10/17/18,59.1
10/16/18,57.81
10/15/18,56.75
10/12/18,56.45
10/11/18,54.86
10/10/18,56.01
10/9/18,57.71
10/8/18,56.54
10/5/18,55.76
10/4/18,55.89
10/3/18,55.47
10/2/18,55.59
10/1/18,55.58
9/28/18,56.84
9/27/18,57.34
9/26/18,57.27
9/25/18,56.9
9/24/18,56.69
9/21/18,57.45
9/20/18,56.43
9/19/18,55.43
9/18/18,55.07
9/17/18,54.57
9/14/18,54.75
9/13/18,54.89
9/12/18,54.97
9/11/18,55.12
9/10/18,54.97
9/7/18,54.86
9/6/18,54.21
9/5/18,53.79
9/4/18,53.53
8/31/18,53.45
8/30/18,53.1
8/29/18,53.25
8/28/18,53.05
8/27/18,52.97
8/24/18,52.75
8/23/18,52.66
8/22/18,52.82
8/21/18,54
8/20/18,53.92
8/17/18,53.56
8/16/18,53.04
8/15/18,52.75
8/14/18,52.59
8/13/18,51.81
8/10/18,51.51
8/9/18,51.92
8/8/18,51.55
8/7/18,52.07
8/6/18,52.07
8/3/18,52.23
8/2/18,51.68
8/1/18,51.93
7/31/18,52.39
7/30/18,51.9
7/27/18,52.15
7/26/18,51.45
7/25/18,51.62
7/24/18,51.17
7/23/18,51.19
7/20/18,50.91
7/19/18,51.34
7/18/18,51.15
7/17/18,51.28
7/16/18,50.94
7/13/18,51.62
7/12/18,50.25
7/11/18,50.14
7/10/18,50.42
7/9/18,49.9
7/6/18,48.98
7/5/18,48.61
7/3/18,48.77
7/2/18,49.06
6/29/18,48.85
6/28/18,48.54
6/27/18,49.84
6/26/18,50.38
6/25/18,50.66
6/22/18,51.24
6/21/18,50.62
6/20/18,52.22
6/19/18,57.43
6/18/18,57.22
6/15/18,57.11
6/14/18,57.02
6/13/18,56.21
6/12/18,56.48
6/11/18,56.48
6/8/18,56.6
6/7/18,57.14
6/6/18,57.17
6/5/18,55.68
6/4/18,57.07
6/1/18,56.91
5/31/18,56.67
5/30/18,57.48
5/29/18,57.23
5/25/18,57.92
5/24/18,57.68
5/23/18,57.49
5/22/18,56.96
5/21/18,57.34
5/18/18,57.16
5/17/18,57.2
5/16/18,57.15
5/15/18,56.64
5/14/18,57.13
5/11/18,57.27
5/10/18,57.65
5/9/18,57.04
5/8/18,57.67
5/7/18,57.45
5/4/18,57.68
5/3/18,56.13
5/2/18,56.7
5/1/18,58.13
4/30/18,57.57
4/27/18,58.36
4/26/18,59.38
4/25/18,57.71
4/24/18,57.81
4/23/18,58.16
4/20/18,58
4/19/18,59.22
4/18/18,59.5
4/17/18,59.83
4/16/18,59.43
4/13/18,59.24
4/12/18,59.43
4/11/18,59.42
4/10/18,59.41
4/9/18,58.7
4/6/18,58.34
4/5/18,59.14
4/4/18,58.83
4/3/18,58
4/2/18,56.24
3/29/18,57.89
3/28/18,57.9
3/27/18,57.46
3/26/18,57.8
3/23/18,56.31
3/22/18,57.77
3/21/18,58.47
3/20/18,58.66
3/19/18,58.3
3/16/18,59
3/15/18,59.37
3/14/18,58.83
3/13/18,59.05
3/12/18,59.4
3/9/18,58.46
3/8/18,57.47
3/7/18,57.03
3/6/18,57.03
3/5/18,56.99
3/2/18,56.93
3/1/18,56.17
2/28/18,57.1
2/27/18,56.57
2/26/18,57.17
2/23/18,56.14
2/22/18,55.4
2/21/18,56.1
2/20/18,55.97
2/16/18,56.48
2/15/18,56.58
2/14/18,55.99
2/13/18,55.67
2/12/18,55.38
2/9/18,54.58
2/8/18,53.77
2/7/18,54.46
2/6/18,55.61
2/5/18,54.69
2/2/18,55.77
2/1/18,56
1/31/18,56.81
1/30/18,57.19
1/29/18,57.02
1/26/18,57.99
1/25/18,60.55
1/24/18,60.83
1/23/18,61.69
1/22/18,61.41
1/19/18,61.26
1/18/18,61.09
1/17/18,60.66
1/16/18,60.56
1/12/18,60.4
1/11/18,60
1/10/18,59.82
1/9/18,59.18
1/8/18,59.31
1/5/18,59.61
1/4/18,58.93
1/3/18,58.71
1/2/18,57.63
12/29/17,57.43
12/28/17,57.81
12/27/17,57.27
12/26/17,57.14
12/22/17,57.3
12/21/17,57.58
12/20/17,57.73
12/19/17,58.01
12/18/17,58.03
12/15/17,58.29
12/14/17,59.7
12/13/17,59.49
12/12/17,59.27
12/11/17,59.07
12/8/17,58.61
12/7/17,59.14
12/6/17,59.28
12/5/17,59.34
12/4/17,58.76
12/1/17,57.32
11/30/17,57.82
11/29/17,57.51
11/28/17,56.66
11/27/17,55.91
11/24/17,56.8
11/22/17,57.14
11/21/17,57.26
11/20/17,56.81
11/17/17,56.93
11/16/17,57.24
11/15/17,56.7
11/14/17,56.93
11/13/17,56.64
11/10/17,57.04
11/9/17,57.36
11/8/17,57.91
11/7/17,57.22
11/6/17,56.57
11/3/17,56.03
11/2/17,54.87
11/1/17,55.13
10/31/17,54.84
10/30/17,55.17
