date,close
5/20/19,35.15
5/17/19,36.66
5/16/19,37.42
5/15/19,37.44
5/14/19,37.19
5/13/19,36.12
5/10/19,37.23
5/9/19,37.15
5/8/19,38.12
5/7/19,38.3
5/6/19,38.39
5/3/19,39.29
5/2/19,38.52
5/1/19,37.99
4/30/19,38.38
4/29/19,37.05
4/26/19,37.11
4/25/19,36.61
4/24/19,36.83
4/23/19,36.5
4/22/19,35.8
4/18/19,35.49
4/17/19,35.5
4/16/19,36.88
4/15/19,38.73
4/12/19,39.54
4/11/19,39
4/10/19,38.99
4/9/19,38.92
4/8/19,39.56
4/5/19,39.89
4/4/19,39.18
4/3/19,39.82
4/2/19,38.95
4/1/19,39.77
3/29/19,38.35
3/28/19,37.98
3/27/19,37.56
3/26/19,37.66
3/25/19,36.61
3/22/19,36.75
3/21/19,38.1
3/20/19,37.65
3/19/19,38.46
3/18/19,38.28
3/15/19,37.55
3/14/19,39.16
3/13/19,39.58
3/12/19,39.55
3/11/19,38.79
3/8/19,37.7
3/7/19,37.41
3/6/19,37.89
3/5/19,38.53
3/4/19,38.31
3/1/19,37.55
2/28/19,37.38
2/27/19,38.6
2/26/19,39.23
2/25/19,39.67
2/22/19,39.27
2/21/19,39.26
2/20/19,40.32
2/19/19,39.26
2/15/19,39.05
2/14/19,38.38
2/13/19,39.14
2/12/19,38.71
2/11/19,37.67
2/8/19,37.81
2/7/19,37.9
2/6/19,38.64
2/5/19,38.26
2/4/19,38
2/1/19,38.7
1/31/19,40.71
1/30/19,41.46
1/29/19,41.45
1/28/19,41.68
1/25/19,42.29
1/24/19,41.83
1/23/19,41.03
1/22/19,41.26
1/18/19,41.42
1/17/19,40.57
1/16/19,40.32
1/15/19,40.38
1/14/19,40.2
1/11/19,40.95
1/10/19,40.29
1/9/19,39
1/8/19,39.84
1/7/19,39.95
1/4/19,39.88
1/3/19,38.23
1/2/19,38.89
12/31/18,37.76
12/28/18,37.27
12/27/18,37.93
12/26/18,37.31
12/24/18,35.24
12/21/18,36.94
12/20/18,38.28
12/19/18,39.36
12/18/18,40.25
12/17/18,40.19
12/14/18,44.37
12/13/18,43.86
12/12/18,44.41
12/11/18,44.2
12/10/18,44.21
12/7/18,45.29
12/6/18,46.21
12/4/18,46.51
12/3/18,47.27
11/30/18,47.11
11/29/18,46.35
11/28/18,46.45
11/27/18,46.56
11/26/18,46.43
11/23/18,45.32
11/21/18,45.55
11/20/18,45.73
11/19/18,46.07
11/16/18,46.15
11/15/18,45.43
11/14/18,45.56
11/13/18,45.33
11/12/18,44.79
11/9/18,45.81
11/8/18,46.35
11/7/18,46.8
11/6/18,46.73
11/5/18,45.37
11/2/18,44.67
11/1/18,44.76
10/31/18,42.97
10/30/18,42.84
10/29/18,40.94
10/26/18,41.55
10/25/18,41.55
10/24/18,40.03
10/23/18,41.6
10/22/18,40.27
10/19/18,42.48
10/18/18,42.69
10/17/18,43.15
10/16/18,43.11
10/15/18,42.35
10/12/18,42.61
10/11/18,41.95
10/10/18,43.63
10/9/18,45.25
10/8/18,49.13
10/5/18,50.56
10/4/18,51.59
10/3/18,51.8
10/2/18,53.37
10/1/18,53.6
9/28/18,53.44
9/27/18,53.53
9/26/18,53.69
9/25/18,54.17
9/24/18,55.45
9/21/18,56.33
9/20/18,56.84
9/19/18,56.61
9/18/18,56.16
9/17/18,55.95
9/14/18,55.82
9/13/18,55.51
9/12/18,55.09
9/11/18,55.28
9/10/18,55.58
9/7/18,54.98
9/6/18,54.88
9/5/18,55.18
9/4/18,54.14
8/31/18,55.08
8/30/18,55.53
8/29/18,55.94
8/28/18,55.71
8/27/18,56.09
8/24/18,55.4
8/23/18,54.82
8/22/18,54.84
8/21/18,55.5
8/20/18,55.6
8/17/18,55.32
8/16/18,55.12
8/15/18,54.96
8/14/18,55.9
8/13/18,54.71
8/10/18,55
8/9/18,55.56
8/8/18,56.17
8/7/18,56.72
8/6/18,56.29
8/3/18,55.82
8/2/18,55.41
8/1/18,57.12
7/31/18,57.98
7/30/18,57.29
7/27/18,56.12
7/26/18,56.39
7/25/18,57.23
7/24/18,57.46
7/23/18,57.18
7/20/18,57.5
7/19/18,57.79
7/18/18,57.64
7/17/18,57.29
7/16/18,57.04
7/13/18,57.44
7/12/18,57.89
7/11/18,57.3
7/10/18,58.11
7/9/18,57.69
7/6/18,56.92
7/5/18,56.71
7/3/18,56.59
7/2/18,56.93
6/29/18,57.02
6/28/18,57.04
6/27/18,57.51
6/26/18,58.27
6/25/18,58.23
6/22/18,57.97
6/21/18,57.44
6/20/18,58.46
6/19/18,58.49
6/18/18,59.4
6/15/18,59.81
6/14/18,60.5
6/13/18,60.5
6/12/18,61.82
6/11/18,61.44
6/8/18,60.96
6/7/18,60.56
6/6/18,60.91
6/5/18,60.77
6/4/18,60.68
6/1/18,60.12
5/31/18,58.88
5/30/18,59.76
5/29/18,59.03
5/25/18,59.96
5/24/18,60.66
5/23/18,60.77
5/22/18,61.36
5/21/18,61.39
5/18/18,62.09
5/17/18,62.28
5/16/18,61.89
5/15/18,60.86
5/14/18,61.21
5/11/18,61.03
5/10/18,60.55
5/9/18,60.48
5/8/18,60.11
5/7/18,60
5/4/18,59.41
5/3/18,58.42
5/2/18,58.56
5/1/18,59.82
4/30/18,59.16
4/27/18,60.79
4/26/18,64.35
4/25/18,65.1
4/24/18,64.7
4/23/18,66.37
4/20/18,66.27
4/19/18,66.61
4/18/18,66.36
4/17/18,66.1
4/16/18,65.36
4/13/18,65
4/12/18,64.84
4/11/18,64.25
4/10/18,64.56
4/9/18,63
4/6/18,62.65
4/5/18,64.45
4/4/18,63.86
4/3/18,63.17
4/2/18,61.95
3/29/18,64.17
3/28/18,63.16
3/27/18,63.45
3/26/18,63.83
3/23/18,61.04
3/22/18,62.74
3/21/18,64.84
3/20/18,64.58
3/19/18,64.82
3/16/18,66.37
3/15/18,66.51
