date,close
6/23/15,79.89
6/24/15,77.96
6/25/15,76.39
6/26/15,75.25
6/29/15,75.16
6/30/15,75.38
7/1/15,72.82
7/2/15,73.13
7/6/15,70.21
7/7/15,71.06
7/8/15,69.29
7/9/15,70.86
7/10/15,70.89
7/13/15,71.31
7/14/15,73.34
7/15/15,70.69
7/16/15,69.19
7/17/15,66.27
7/20/15,64.83
7/21/15,65.97
7/22/15,66.24
7/23/15,66.29
7/24/15,63.9
7/27/15,63.3
7/28/15,64.99
7/29/15,67.65
7/30/15,67.68
7/31/15,67.3
8/3/15,66.82
8/4/15,67.99
8/5/15,68.37
8/6/15,70.48
8/7/15,68.84
8/10/15,70.19
8/11/15,70.87
8/12/15,72.48
8/13/15,71.67
8/14/15,73.9
8/17/15,72.21
8/18/15,73.38
8/19/15,71.84
8/20/15,70.23
8/21/15,66.55
8/24/15,61.75
8/25/15,60.82
8/26/15,62.09
8/27/15,65.7
8/28/15,66.56
8/31/15,68.29
9/1/15,64.52
9/2/15,67.45
9/3/15,66.98
9/4/15,66
9/8/15,67.31
9/9/15,65.05
9/10/15,66.88
9/11/15,66.31
9/14/15,65.72
9/15/15,66.7
9/16/15,69.89
9/17/15,69.81
9/18/15,69
9/21/15,69.42
9/22/15,69.18
9/23/15,66.49
9/24/15,66.67
9/25/15,66.01
9/28/15,62.63
9/29/15,63
9/30/15,64.6
10/1/15,65.56
10/2/15,69.36
10/5/15,72.21
10/6/15,72.58
10/7/15,73.65
10/8/15,76.22
10/9/15,76.95
10/12/15,76.91
10/13/15,76.17
10/14/15,76.43
10/15/15,75.68
10/16/15,77.18
10/19/15,73.31
10/20/15,73.36
10/21/15,71.27
10/22/15,72.35
10/23/15,71.92
10/26/15,72.88
10/27/15,72.56
10/28/15,75.5
10/29/15,75.4
10/30/15,73.84
11/2/15,73.41
11/3/15,77.26
11/4/15,76.08
11/5/15,77.09
11/6/15,77.79
11/9/15,79.62
11/10/15,79.6
11/11/15,79.83
11/12/15,78.09
11/13/15,76.72
11/16/15,79.66
11/17/15,79.61
11/18/15,81.42
11/19/15,77.06
11/20/15,77.47
11/23/15,79.74
11/24/15,79.94
11/25/15,78.7
11/27/15,77.52
11/30/15,78.02
12/1/15,78.2
12/2/15,76.79
12/3/15,76.75
12/4/15,76.31
12/7/15,73.85
12/8/15,74.94
12/9/15,77.02
12/10/15,79.09
12/11/15,76.56
12/14/15,75.61
12/15/15,76.51
12/16/15,72.36
12/17/15,68.75
12/18/15,66.16
12/21/15,62.2
12/22/15,63.35
12/23/15,67.46
12/24/15,67.92
12/28/15,65.43
12/29/15,66.44
12/30/15,66.02
12/31/15,66.9
1/4/16,66.11
1/5/16,65.19
1/6/16,62.2
1/7/16,60.4
1/8/16,60.76
1/11/16,57.6
1/12/16,58.52
1/13/16,59.51
1/14/16,62.68
1/15/16,63.16
1/19/16,60.48
1/20/16,60.91
1/21/16,64.1
1/22/16,66.17
1/25/16,62.08
1/26/16,66.53
1/27/16,68.27
1/28/16,72.79
1/29/16,75.55
2/1/16,72.6
2/2/16,71.25
2/3/16,74.88
2/4/16,72
2/5/16,67.31
2/8/16,69.95
2/9/16,67.06
2/10/16,67.33
2/11/16,67.9
2/12/16,69.13
2/16/16,67.97
2/17/16,70.44
2/18/16,70.25
2/19/16,72.08
2/22/16,73.7
2/23/16,69.99
2/24/16,71.72
2/25/16,71.56
2/26/16,72.6
2/29/16,71.25
3/1/16,72.49
3/2/16,74
