date,close
5/20/19,52.01
5/17/19,52.24
5/16/19,52.59
5/15/19,52.01
5/14/19,51.65
5/13/19,51.04
5/10/19,52.74
5/9/19,52.46
5/8/19,52.41
5/7/19,52.21
5/6/19,53.48
5/3/19,53.62
5/2/19,53.37
5/1/19,53.9
4/30/19,54.23
4/29/19,53.83
4/26/19,52.98
4/25/19,53.35
4/24/19,52.93
4/23/19,52.79
4/22/19,51.71
4/18/19,52.18
4/17/19,52.76
4/16/19,52.78
4/15/19,52.29
4/12/19,53.13
4/11/19,53
4/10/19,52.62
4/9/19,51.89
4/8/19,51.94
4/5/19,53.25
4/4/19,53.18
4/3/19,52.89
4/2/19,52.71
4/1/19,52.41
3/29/19,51.91
3/28/19,50.45
3/27/19,49.83
3/26/19,48.75
3/25/19,48.69
3/22/19,49.32
3/21/19,50.74
3/20/19,49.7
3/19/19,50.74
3/18/19,51.08
3/15/19,51.37
3/14/19,51.16
3/13/19,50.61
3/12/19,50.4
3/11/19,51.61
3/8/19,51.77
3/7/19,52.43
3/6/19,53.06
3/5/19,53.39
3/4/19,53.83
3/1/19,54.34
2/28/19,56.04
2/27/19,53.85
2/26/19,53.69
2/25/19,53.96
2/22/19,53.62
2/21/19,54.31
2/20/19,54.41
2/19/19,57.67
2/15/19,57.7
2/14/19,58
2/13/19,58
2/12/19,57.7
2/11/19,58.28
2/8/19,57.65
2/7/19,57.48
2/6/19,57.61
2/5/19,57.88
2/4/19,58.29
2/1/19,57.13
1/31/19,56.76
1/30/19,57.49
1/29/19,56.37
1/28/19,55.52
1/25/19,54.98
1/24/19,54.21
1/23/19,51.02
1/22/19,50.54
1/18/19,51.57
1/17/19,50.59
1/16/19,49.78
1/15/19,49.61
1/14/19,48.76
1/11/19,48.52
1/10/19,48.99
1/9/19,49.08
1/8/19,47.54
1/7/19,47.87
1/4/19,47.86
1/3/19,45.61
1/2/19,47.14
12/31/18,46.48
12/28/18,46.76
12/27/18,46.8
12/26/18,46.72
12/24/18,44.4
12/21/18,45.95
12/20/18,47.07
12/19/18,48.78
12/18/18,49.6
12/17/18,49.39
12/14/18,50.09
