date,close
5/20/19,82.85
5/17/19,84.57
5/16/19,84.28
5/15/19,84.01
5/14/19,83.67
5/13/19,82.53
5/10/19,83.95
5/9/19,82.98
5/8/19,82.77
5/7/19,82.54
5/6/19,83.57
5/3/19,85.7
5/2/19,85.27
5/1/19,85.9
4/30/19,87.83
4/29/19,88.26
4/26/19,88.31
4/25/19,87.56
4/24/19,88.39
4/23/19,87.43
4/22/19,87.36
4/18/19,89.2
4/17/19,88.73
4/16/19,87.8
4/15/19,86.83
4/12/19,86.24
4/11/19,85
4/10/19,84.88
4/9/19,84.28
4/8/19,84.73
4/5/19,85.4
4/4/19,85.28
4/3/19,84.47
4/2/19,84.37
4/1/19,85.23
3/29/19,84.21
3/28/19,84.04
3/27/19,83.09
3/26/19,83.38
3/25/19,82.33
3/22/19,82.19
3/21/19,88.01
3/20/19,86.69
3/19/19,87.69
3/18/19,87.82
3/15/19,86.8
3/14/19,86.87
3/13/19,85.93
3/12/19,85.43
3/11/19,85.82
3/8/19,84.8
3/7/19,85.26
3/6/19,85.13
3/5/19,85.44
3/4/19,85.64
3/1/19,87.16
2/28/19,85.73
2/27/19,86.17
2/26/19,85.8
2/25/19,85.17
2/22/19,84.76
2/21/19,83.95
2/20/19,84.84
2/19/19,84.57
2/15/19,85.38
2/14/19,84.68
2/13/19,85.4
2/12/19,84.71
2/11/19,83.68
2/8/19,82.36
2/7/19,82.39
2/6/19,82.71
2/5/19,82.86
2/4/19,81.99
2/1/19,81.51
1/31/19,81.88
1/30/19,81.28
1/29/19,80.22
1/28/19,80.32
1/25/19,80.61
1/24/19,80.44
1/23/19,80.5
1/22/19,80.75
1/18/19,80.45
1/17/19,79.13
1/16/19,77.68
1/15/19,77.88
1/14/19,76.09
1/11/19,76.04
1/10/19,76.42
1/9/19,76.59
1/8/19,76.73
1/7/19,75.72
1/4/19,74.65
1/3/19,72.75
1/2/19,74.06
12/31/18,74.14
12/28/18,73.34
12/27/18,73.67
12/26/18,73.01
12/24/18,68.1
12/21/18,72.37
12/20/18,67.53
12/19/18,68.97
12/18/18,71.15
12/17/18,69.9
12/14/18,72.53
12/13/18,72.93
12/12/18,74.32
12/11/18,73.57
12/10/18,72.51
12/7/18,73.34
12/6/18,75.54
12/4/18,75.79
12/3/18,77.94
11/30/18,75.12
11/29/18,74.34
11/28/18,74.66
11/27/18,72.09
11/26/18,72.71
11/23/18,71.49
11/21/18,72.37
11/20/18,71.12
11/19/18,72.52
11/16/18,74.74
11/15/18,74.33
11/14/18,75.2
11/13/18,75.2
11/12/18,75.1
11/9/18,76.36
11/8/18,77.78
11/7/18,77.97
11/6/18,76.57
11/5/18,77.53
11/2/18,76.58
11/1/18,76.79
10/31/18,75.04
