date,close
5/20/19,41.95
5/17/19,44.63
5/16/19,45.09
5/15/19,45.49
5/14/19,44.63
5/13/19,42.99
5/10/19,45.86
5/9/19,46.42
5/8/19,46.7
5/7/19,47.21
5/6/19,49.56
5/3/19,50.8
5/2/19,49.76
5/1/19,50.8
4/30/19,51.12
4/29/19,50.47
4/26/19,50.92
4/25/19,52.95
4/24/19,53.94
4/23/19,54.45
4/22/19,54.21
4/18/19,55.39
4/17/19,54.45
4/16/19,54.29
4/15/19,51.86
4/12/19,51.83
4/11/19,50.83
4/10/19,50.69
4/9/19,50.11
4/8/19,51.59
4/5/19,52.04
4/4/19,51.4
4/3/19,52.01
4/2/19,50.38
4/1/19,49.31
3/29/19,48.06
3/28/19,45.75
3/27/19,45.38
3/26/19,47.08
3/25/19,47.89
3/22/19,48.39
3/21/19,51.78
3/20/19,47.17
3/19/19,47.88
3/18/19,48.29
3/15/19,48.1
3/14/19,47.58
3/13/19,48.99
3/12/19,49.15
3/11/19,49.66
3/8/19,47.48
3/7/19,46.99
3/6/19,48.12
3/5/19,50.74
3/4/19,52.61
3/1/19,51.66
2/28/19,50.3
2/27/19,48.54
2/26/19,50.97
2/25/19,51.36
2/22/19,49.49
2/21/19,47.19
2/20/19,48.46
2/19/19,48
2/15/19,47.65
2/14/19,47.98
2/13/19,47.69
2/12/19,47.26
2/11/19,45.93
2/8/19,46.71
2/7/19,45.86
2/6/19,48
2/5/19,47.41
2/4/19,47.85
2/1/19,47
1/31/19,44.99
1/30/19,43.83
1/29/19,42.55
1/28/19,44
1/25/19,43.16
1/24/19,40.14
1/23/19,37.62
1/22/19,37.56
1/18/19,39.2
1/17/19,36.47
1/16/19,37.83
1/15/19,37.68
1/14/19,38.06
1/11/19,40.03
1/10/19,39.81
1/9/19,39.79
1/8/19,38.11
1/7/19,38.48
1/4/19,37.16
1/3/19,35.65
1/2/19,38.26
12/31/18,36.97
12/28/18,36.74
12/27/18,36.89
12/26/18,36.93
12/24/18,35.06
12/21/18,35.9
12/20/18,36.69
12/19/18,36.58
12/18/18,38.72
12/17/18,38.25
12/14/18,38.78
12/13/18,39.96
12/12/18,40.97
12/11/18,41.6
12/10/18,41.66
12/7/18,42.03
12/6/18,43.6
12/4/18,43.04
12/3/18,46.37
11/30/18,45.39
11/29/18,45.52
11/28/18,48.15
11/27/18,48.68
11/26/18,47.92
11/23/18,47.34
11/21/18,46.9
11/20/18,45.68
11/19/18,45.11
11/16/18,46.6
11/15/18,46.73
11/14/18,45.05
11/13/18,44.69
11/12/18,43.46
11/9/18,45.73
11/8/18,47.56
11/7/18,48.53
11/6/18,48.9
11/5/18,48.36
11/2/18,47.74
11/1/18,47.08
10/31/18,43.07
10/30/18,41.37
10/29/18,41.55
10/26/18,44.19
10/25/18,54.01
10/24/18,52.34
10/23/18,55.66
10/22/18,55.36
