Area,Years,Subscribers
United States and Canada,Q1 - 2018,60909000
"Europe, Middle East and Africa",Q1 - 2018,29339000
Latin America,Q1 - 2018,21260000
Asia-Pacific,Q1 - 2018,7394000
United States and Canada,Q2 - 2018,61870000
"Europe, Middle East and Africa",Q2 - 2018,31317000
Latin America,Q2 - 2018,22795000
Asia-Pacific,Q2 - 2018,8372000
United States and Canada,Q3 - 2018,63010000
"Europe, Middle East and Africa",Q3 - 2018,33836000
Latin America,Q3 - 2018,24115000
Asia-Pacific,Q3 - 2018,9461000
United States and Canada,Q4 - 2018,64757000
"Europe, Middle East and Africa",Q4 - 2018,37818000
Latin America,Q4 - 2018,26077000
Asia-Pacific,Q4 - 2018,10607000
United States and Canada,Q1 - 2019,66633000
"Europe, Middle East and Africa",Q1 - 2019,42542000
Latin America,Q1 - 2019,27547000
Asia-Pacific,Q1 - 2019,12141000
United States and Canada,Q2 - 2019,66501000
"Europe, Middle East and Africa",Q2 - 2019,44229000
Latin America,Q2 - 2019,27890000
Asia-Pacific,Q2 - 2019,12942000
United States and Canada,Q3 - 2019,67114000
"Europe, Middle East and Africa",Q3 - 2019,47355000
Latin America,Q3 - 2019,29380000
Asia-Pacific,Q3 - 2019,14485000
United States and Canada,Q4 - 2019,67662000
"Europe, Middle East and Africa",Q4 - 2019,51778000
Latin America,Q4 - 2019,31417000
Asia-Pacific,Q4 - 2019,16233000
United States and Canada,Q1 - 2020,69969000
"Europe, Middle East and Africa",Q1 - 2020,58734000
Latin America,Q1 - 2020,34318000
Asia-Pacific,Q1 - 2020,19835000
United States and Canada,Q2 - 2020,72904000
"Europe, Middle East and Africa",Q2 - 2020,61483000
Latin America,Q2 - 2020,36068000
Asia-Pacific,Q2 - 2020,22492000
