Total Active Loans,Total Average Loan Amount,2015 - 2016,2010 - 2014,Self Help Loan,Leveraged Loan,State Code
1024,67473.63,89588.61,100856.59,0,138,AL
1615,52129.24,81938.03,83731.25,0,145,AL
1266,63129.38,101548.55,88090.94,0,107,AL
1215,61669.00,89444.25,87758.19,2,132,AL
669,62028.67,118792.55,91825.06,0,40,AL
431,70521.63,108376.93,103693.39,0,19,AL
1235,58102.98,96377.87,92708.02,16,24,AL
897,148811.39,189583.49,172371.39,96,450,AK
881,75265.65,104434.63,98459.75,229,96,AZ
178,93018.73,101380.90,115288.65,1,68,AZ
2244,81818.23,109815.07,93906.67,1352,741,AZ
575,89488.12,125891.57,111493.36,79,129,AZ
16,43245.47,,,0,0,AZ
2,26763.52,,,1,0,AZ
63,69567.15,66010.74,84550.10,55,21,AZ
20,78407.94,,95990.11,0,2,AZ
3,40017.13,,,1,0,AZ
2317,55119.25,76763.21,75502.70,148,160,AR
510,70712.35,90644.09,93759.29,28,28,AR
1601,77497.43,106532.14,99425.79,368,194,AR
1758,59883.24,81506.26,82874.64,317,185,AR
858,99108.33,149348.15,142027.09,460,163,CA
259,129365.23,210326.88,178591.19,139,77,CA
702,113914.09,142035.24,145636.13,438,196,CA
154,121351.93,147456.27,157528.87,37,13,CA
62,138534.25,144590.79,174142.61,40,28,CA
19,80308.21,,110869.18,0,0,CA
132,48304.45,76000.00,53477.58,0,0,CA
325,128774.36,239428.00,145128.16,60,5,CA
95,78504.22,140250.00,110556.42,18,4,CA
484,90195.59,126197.08,107900.53,266,54,CA
574,129229.22,152686.10,201663.47,442,256,CA
1970,131235.25,185515.06,157513.14,423,417,CA
793,121998.52,165344.57,136664.69,351,208,CA
102,115866.46,207677.78,151883.43,50,9,CA
281,171758.24,288155.05,232896.06,245,102,CA
1,200000.00,,,0,0,CA
45,139325.13,,124475.94,42,43,CA
1,55595.00,,,0,0,CA
1548,113891.24,140871.78,127285.06,991,589,CA
1,57600.00,,,0,1,CA
5,68697.83,,147500.00,0,0,CA
1,143119.62,,143119.62,1,0,CA
9,213632.89,322723.65,,0,1,CA
454,115343.79,170260.00,132882.06,131,65,CA
89,148667.52,178075.49,169821.73,0,22,CO
1342,119763.17,152191.27,141957.40,488,326,CO
894,80392.68,106402.69,92949.03,64,290,CO
206,123996.83,151940.57,136366.31,38,19,CO
39,116225.83,189213.09,166132.71,0,12,CO
69,141937.40,187683.00,159798.88,0,8,CT
542,119938.52,161818.69,154003.27,1,58,CT
32,133163.32,164459.97,197121.31,0,3,CT
103,142408.92,196522.73,185474.80,0,12,CT
1137,134815.44,165017.53,162521.29,152,116,DE
1094,77975.14,95695.71,111809.28,0,378,FL
1335,70269.99,77089.29,98541.18,16,642,FL
782,61362.12,84786.58,89353.90,12,285,FL
102,99870.24,128343.36,116009.61,0,27,FL
435,69163.65,110661.92,89415.50,203,119,FL
468,88852.69,117514.73,99251.37,0,195,FL
332,64933.95,99358.18,78174.54,22,96,FL
97,59745.59,112000.00,72703.12,0,18,FL
254,86071.83,154286.31,134509.34,25,91,FL
830,84519.15,132811.29,108426.11,343,307,FL
746,58639.91,84847.95,69232.47,115,228,FL
161,58855.23,105765.83,98867.82,24,18,FL
2,77849.03,,,2,2,FL
407,98156.49,119600.95,100839.16,392,233,FL
378,75988.60,102936.21,129181.93,1,101,FL
135,57561.22,94358.00,82587.83,0,25,FL
1108,75832.77,111874.16,106661.53,185,510,FL
85,82808.74,100049.82,80910.52,0,48,FL
107,79571.74,127705.30,94339.29,0,35,FL
268,61409.00,62707.46,72731.79,0,67,FL
193,78623.23,157000.00,109131.84,0,69,FL
490,79306.59,102774.73,106793.37,4,53,GA
1818,58839.11,81522.95,85255.30,0,192,GA
817,70207.47,91649.81,89276.55,1,151,GA
63,69685.68,91221.30,88794.42,0,12,GA
5,38843.88,,45334.42,0,0,GA
2,95531.71,,44663.42,0,0,GA
2,142409.50,,,0,0,GA
1392,67399.03,88519.74,91964.41,0,191,GA
878,89705.02,102661.59,108372.68,5,91,GA
1365,68135.21,99694.54,88769.47,0,152,GA
98,88271.15,94704.79,109600.59,0,6,GA
1021,60060.88,81740.39,84578.12,0,55,GA
74,92139.84,106235.10,114500.14,0,23,GA
597,74549.79,90219.16,93729.84,0,80,GA
153,178319.19,222160.41,216569.73,40,115,HI
833,158988.68,232289.81,211174.60,336,244,HI
1298,108500.14,140169.24,129578.64,55,475,ID
997,98642.56,121354.99,121194.25,183,319,ID
2,82123.53,,,0,0,IL
125,100510.40,117846.66,121245.20,0,3,IL
3,137333.33,,134000.00,0,0,IL
931,63644.65,89904.67,78242.50,0,156,IL
334,67282.70,79867.04,74058.30,0,57,IL
74,118280.72,145571.83,124677.89,0,39,IL
1617,60712.39,77673.25,71007.18,0,267,IL
1061,81374.55,86367.54,88893.52,0,170,IL
356,61189.55,73719.17,70714.95,0,54,IL
763,70298.69,88551.88,85770.02,32,133,IL
140,99131.44,132053.40,123326.43,0,47,IN
604,90578.87,126556.53,112314.16,0,212,IN
1498,95616.77,126991.21,118823.00,0,687,IN
633,73592.29,106764.16,100694.57,0,251,IN
190,72999.99,123406.60,98814.66,0,89,IN
715,65589.25,81191.50,84160.22,0,405,IN
1,51870.00,,,0,1,IN
627,67797.35,95833.43,84590.07,43,191,IN
918,69916.72,84772.77,85066.59,0,310,IN
607,76117.01,84704.64,87127.60,0,56,IA
983,72067.06,95082.96,82018.87,5,81,IA
934,93957.07,103332.76,107281.30,0,83,IA
1226,66854.19,79092.75,77077.58,4,149,IA
2253,78530.12,101176.99,106349.63,187,666,KS
826,59716.91,77141.08,69471.05,7,316,KS
84,101093.07,142631.51,130874.19,0,34,KS
407,83617.12,102134.23,100421.30,66,228,KS
1807,61775.13,75770.48,85070.14,11,215,KY
1314,81174.14,107141.84,108590.86,12,183,KY
11,118714.45,133452.31,119902.22,0,2,KY
1171,80539.41,108977.04,103341.02,0,190,KY
2334,55377.07,73118.08,71829.05,48,775,KY
1674,83422.62,108478.78,107927.24,0,328,KY
632,85019.06,119459.10,116635.12,3,115,LA
637,84507.67,127694.29,120108.14,39,62,LA
1043,79725.61,125997.29,119706.80,68,107,LA
1195,67487.84,108821.22,104013.70,2,125,LA
2549,66169.03,107754.50,100118.61,0,167,LA
570,89691.46,137090.21,132543.05,0,87,LA
2184,122093.17,151704.94,157746.56,11,476,ME
2318,85534.19,119019.50,116676.41,216,421,ME
1067,115313.71,156503.42,156646.42,50,245,MD
50,61751.79,12170.01,86637.17,0,3,MD
1,42000.00,,,0,1,MD
318,119539.24,186843.24,150045.84,110,28,MD
331,118446.45,163306.57,164615.16,18,103,MD
4,162409.01,273149.00,80113.39,0,2,MD
139,172514.43,217235.93,209636.68,10,65,MD
435,124252.23,171784.97,167403.85,8,32,MA
571,124569.96,181141.33,164628.05,13,57,MA
106,117630.33,143607.89,172231.88,2,7,MA
63,185175.38,225908.21,252595.15,0,5,MA
3,96155.25,,,0,0,MA
11,125894.22,,180755.56,0,0,MA
8,196161.08,118914.50,221912.82,0,2,MA
468,149255.31,185376.43,177433.58,0,100,MA
1941,73313.87,90000.16,85097.76,4,260,MI
434,85532.30,100079.79,99913.30,29,97,MI
349,91971.28,99558.43,101341.79,0,44,MI
989,76324.48,88474.34,85986.89,0,173,MI
485,80500.86,97437.02,81771.41,0,75,MI
615,90221.47,100485.55,98400.40,7,114,MI
534,96999.56,112841.59,105304.85,0,63,MI
333,121668.88,147808.99,126849.66,0,46,MI
1,73568.88,,,0,0,MI
397,83157.10,93180.21,88104.51,0,98,MI
37,109528.24,127501.96,136118.79,0,8,MI
38,148529.79,177934.02,144566.04,0,4,MI
490,109996.57,125352.43,124865.65,6,188,MN
94,136771.45,167660.62,129648.05,0,43,MN
1,188500.00,,,0,0,MN
1,63400.00,,,0,1,MN
240,120931.27,147089.41,141025.34,0,56,MN
887,96351.89,121306.98,110474.84,0,216,MN
937,105563.75,115926.39,115352.93,1,352,MN
