"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","4.79","$580.24M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","161.66","$93.12B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","2.94","$126.42M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"EGHT","8x8 Inc","15.71","$1.64B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","1.39","$33.19M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","53.29","$8.6B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.69","$521.34M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","19.86","$701.07M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","57.84","$3.88B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","25.39","$54.04B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","104.44","$184.91B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","87.28","$154.03B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","14.76","$920.63M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.1","$114.2M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","4.64","$396.29M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","9.76","$170.14M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.3","$111.29M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"ASGI","Aberdeen Standard Global Infrastructure Income Fund","17.53","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.87","$829.74M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","37.46","$2.5B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
