limit_bal,education,marriage,age,bill_amt,pay_amt,default
20000,secondary,yes,24,7704,689,1
120000,secondary,no,26,17077,5000,1
90000,secondary,no,34,101653,11018,0
50000,secondary,yes,37,231334,8388,0
50000,secondary,yes,57,109339,59049,0
50000,primary,no,37,238114,7772,0
500000,primary,no,29,2724595,180759,0
100000,secondary,no,23,13486,4791,0
140000,post-grad,yes,28,65212,6761,0
20000,post-grad,no,35,26919,14129,0
200000,post-grad,no,34,34467,6472,0
260000,primary,no,51,88369,66308,0
630000,secondary,no,41,41007,23370,0
70000,secondary,no,30,338685,10700,1
250000,primary,no,29,373591,18000,0
50000,post-grad,no,23,196416,6200,0
20000,primary,no,24,106161,6350,1
320000,primary,yes,49,966014,361897,0
180000,primary,no,29,0,0,0
130000,post-grad,no,39,123883,42231,0
120000,secondary,yes,39,1896,1580,1
70000,secondary,no,26,265475,11010,1
450000,primary,yes,40,26965,22589,1
90000,primary,no,23,31864,16400,0
50000,post-grad,no,23,214295,7891,0
60000,primary,no,27,-394,2500,1
50000,post-grad,no,30,112268,7112,0
50000,post-grad,yes,47,40208,39567,0
50000,primary,no,26,97082,6600,0
230000,primary,no,27,113746,97489,0
50000,secondary,no,33,151869,6934,1
100000,primary,no,32,495237,18744,0
500000,secondary,yes,54,125744,158502,0
500000,primary,yes,58,58318,45425,0
160000,primary,no,30,25312,2280,0
280000,secondary,yes,40,1069977,41923,0
60000,secondary,no,22,32279,53349,0
50000,primary,no,25,780,780,1
280000,primary,no,31,51643,37357,0
360000,primary,no,33,1650751,243840,0
70000,primary,no,25,392856,19342,0
10000,secondary,no,22,22761,7227,0
140000,secondary,yes,37,385134,20000,0
40000,primary,no,30,147185,13000,0
210000,primary,no,29,0,0,1
20000,primary,no,22,79328,20075,1
150000,other,no,46,9837,2183,1
380000,secondary,no,32,114815,93332,0
20000,primary,no,24,115810,6246,0
70000,post-grad,no,42,229012,8100,1
100000,post-grad,no,43,265185,9606,0
310000,secondary,yes,49,44125,30668,0
180000,primary,no,25,259151,10246,0
150000,primary,no,29,176751,12867,0
500000,primary,yes,45,8388,6483,0
180000,post-grad,yes,34,55404,29179,0
180000,secondary,yes,34,952362,34062,0
200000,primary,no,34,6747,1900,0
400000,secondary,yes,29,2284140,109029,0
500000,post-grad,yes,28,109699,8816,1
70000,secondary,yes,39,244242,12120,0
50000,primary,no,29,157674,6125,1
50000,secondary,yes,46,57884,1000,1
130000,secondary,yes,51,2452,2353,0
200000,primary,yes,57,469636,9522,1
10000,secondary,yes,56,22852,3010,1
210000,primary,no,30,8589,9198,0
130000,post-grad,no,29,7901,41379,0
20000,other,no,22,88326,3700,0
80000,primary,no,31,2340,1950,0
320000,secondary,no,29,362152,13800,1
200000,secondary,yes,32,26425,19512,0
290000,primary,no,37,5514,5514,0
340000,primary,no,32,142199,141997,0
20000,secondary,no,24,101328,5590,0
50000,post-grad,no,25,145406,6358,0
300000,primary,yes,45,1746,1746,0
30000,secondary,no,22,149186,8411,1
240000,secondary,no,44,0,0,1
470000,post-grad,no,33,614823,21926,0
360000,primary,no,26,294903,161355,0
60000,post-grad,no,30,143566,5345,1
400000,secondary,yes,44,700952,22753,0
50000,post-grad,no,49,177499,6052,0
160000,secondary,no,33,667013,101747,0
360000,primary,yes,45,3510,2340,1
160000,secondary,no,32,31623,8216,0
130000,primary,yes,35,226534,56705,0
20000,post-grad,no,44,61309,6151,0
200000,primary,yes,53,862167,32800,1
280000,primary,no,39,15360,3968,0
100000,primary,no,27,3555,7555,0
160000,secondary,yes,37,4162,11018,0
60000,secondary,no,23,197839,6261,0
90000,secondary,no,35,354716,11756,0
360000,primary,yes,43,58460,120613,0
150000,primary,no,27,479411,23841,0
50000,post-grad,yes,22,83794,3783,0
20000,secondary,yes,38,93217,5685,1
140000,primary,no,32,13679,13007,0
380000,primary,no,30,132602,42019,0
480000,primary,yes,63,2761015,130971,0
50000,post-grad,no,22,205366,6870,1
60000,secondary,no,26,342038,13517,0
70000,secondary,no,24,32109,28529,0
80000,secondary,yes,36,17865,12794,0
350000,primary,no,52,10987,15285,0
130000,secondary,no,38,680938,287768,0
360000,secondary,yes,35,-618,0,0
330000,primary,yes,31,639580,32747,0
50000,post-grad,yes,47,93139,7000,0
280000,secondary,yes,41,855008,40604,0
100000,primary,no,24,335186,17866,0
50000,secondary,no,41,119110,5471,0
30000,primary,no,24,117660,6312,1
240000,primary,no,28,7456,7656,0
80000,secondary,no,26,99022,7700,1
400000,secondary,yes,34,71828,57891,0
240000,secondary,no,38,209703,11073,0
50000,post-grad,no,37,290245,10235,1
450000,primary,yes,40,0,0,1
110000,primary,yes,48,0,0,0
310000,secondary,yes,35,1626538,53973,1
20000,primary,no,27,112100,4308,0
20000,secondary,no,23,0,0,0
200000,post-grad,no,52,617685,22056,0
180000,primary,yes,36,668882,14771,1
50000,secondary,yes,51,30548,6200,1
60000,post-grad,yes,55,264125,7511,0
30000,primary,no,23,32776,31886,0
240000,primary,no,41,11279,8944,0
420000,secondary,yes,34,1349911,53309,0
