Date,Open,High,Low,Close,Volume
1/2/2015,357.98,359.89,352.44,356.73,367144
1/5/2015,353.24,354.27,346.6,347.5,465904
1/6/2015,348.7,351.63,338.55,342.1,626376
1/7/2015,345.15,349.98,344.26,349.34,388392
1/8/2015,352.84,354.65,351.59,353.42,480797
1/9/2015,353.99,354.52,346.94,349.23,542597
1/12/2015,350.21,352.38,344.25,346.93,331528
1/13/2015,349.78,354.49,344.9,347.98,406689
1/14/2015,345.58,347.66,340.5,345.75,717606
1/15/2015,349.07,349.58,340.57,342.45,662086
1/16/2015,344.49,348.61,339.1,348.07,916411
1/20/2015,350.01,351.6,344.67,346.59,939892
1/21/2015,344.63,351,342.51,349.5,823010
1/22/2015,354,362.03,348.47,360.79,716518
1/23/2015,361.27,361.72,355.11,355.12,418521
1/26/2015,354,358.45,352.65,357.39,469958
1/27/2015,353.25,355,350.78,351.48,435935
1/28/2015,353.49,354.71,344.77,345.03,562255
1/29/2015,345.79,348.16,342.77,346.94,593738
1/30/2015,345.09,347.96,340.27,340.51,663236
2/2/2015,342.37,348.1,339.44,347.64,610213
2/3/2015,348.06,353.4,348.06,352.95,655289
2/4/2015,346.54,354.33,344.95,350.78,544680
2/5/2015,352.34,359.82,352.01,358.82,743609
2/6/2015,362.25,367.47,360.15,362.43,653696
2/9/2015,360.03,362.59,358.83,360.87,403079
2/10/2015,365,372.05,364.34,370.67,726933
2/11/2015,369.55,372.25,367.29,369.9,461330
2/12/2015,370,375.46,370,374.88,445494
2/13/2015,374.89,378.03,373.8,376.04,553701
2/17/2015,379.51,382.84,377.8,380.33,1122430
2/18/2015,380.54,381.17,376.79,377.86,583220
2/19/2015,376.69,379.43,376.05,377.61,499029
2/20/2015,375.72,377.67,373.15,376.64,774270
2/23/2015,377.17,378,373.7,376.43,443593
2/24/2015,377.71,379.88,377,378.11,451672
2/25/2015,377.74,378.65,375.56,375.92,443439
2/26/2015,374.79,377.01,373.25,375.02,397656
2/27/2015,375.02,376.85,371.38,371.42,702198
3/2/2015,367.88,376.69,367.88,376.42,478004
3/3/2015,374.28,375.65,370.85,373.66,428941
3/4/2015,369.05,370.91,367.21,369.14,371053
3/5/2015,370,371.48,367.34,369.94,366051
3/6/2015,369.53,375.54,364.85,365.47,538753
3/9/2015,365.47,367.97,363.54,364.59,519328
3/10/2015,361.24,362.75,356.07,356.19,531248
3/11/2015,357.15,359.84,356.63,358.41,464714
3/12/2015,360.6,368.93,360.6,368.71,474376
3/13/2015,368.99,369.98,364.2,367.74,521772
3/16/2015,370.67,374.74,369.72,374.08,491752
3/17/2015,373.04,376.14,371.53,374.26,531570
3/18/2015,373.97,380.99,371.45,377.76,595733
3/19/2015,376,376.45,369.12,369.95,633193
3/20/2015,370.62,379.59,370.42,378.64,681562
3/23/2015,377.92,380.82,374.02,374.33,453001
3/24/2015,373.32,373.93,369.1,369.1,452763
3/25/2015,369.89,372.05,363.76,363.92,391491
3/26/2015,360.74,364.81,360.01,362.15,417686
3/27/2015,361.84,363.74,360.25,361.63,386944
3/30/2015,363.1,369.62,363.1,368.1,471010
3/31/2015,366.21,368.14,364.7,365.84,427173
4/1/2015,364.51,366.93,361.84,362.57,593943
4/2/2015,363.32,367.15,362.67,366.4,351835
4/6/2015,362.86,369.12,361.55,366.98,345365
4/7/2015,366.75,370.9,366.33,368.62,448748
4/8/2015,370.05,371.45,367.45,369.71,569370
4/9/2015,370,371.78,367.68,371.53,392705
4/10/2015,372.52,372.99,368.02,369.45,348375
4/13/2015,369.95,373,369.65,369.69,421032
4/14/2015,369.85,374.19,367.09,373.66,581678
4/15/2015,374.38,377.28,373.45,376.66,710703
4/16/2015,378.52,378.79,364.37,372.18,902460
4/17/2015,369.69,372,363.16,365.4,798844
4/20/2015,368,370.93,367.43,369.71,416519
4/21/2015,371.68,371.89,367.1,367.52,448573
4/22/2015,369.09,371.22,365.4,369.51,451959
4/23/2015,368.5,372.56,366.93,371.93,432672
4/24/2015,372.73,373.88,369.78,372.98,355725
4/27/2015,374.59,376.73,371.18,371.89,354750
4/28/2015,370.17,377.99,370.17,377.85,395736
4/29/2015,375.62,378.8,365.82,366.67,981732
4/30/2015,366.27,368.9,362.34,363.94,673283
5/1/2015,366.53,369.22,365.02,368.64,412939
5/4/2015,369.79,371.68,368.74,370.27,375569
5/5/2015,368.48,371.77,365.12,366.05,380754
5/6/2015,366.39,367.89,361.05,363.4,427776
5/7/2015,363.5,367.57,362.83,365.68,431389
5/8/2015,367.35,371.26,365.69,370.04,446130
5/11/2015,369.55,372.14,367.69,367.78,431878
5/12/2015,365.87,366.18,362.38,365.17,452347
5/13/2015,364.48,366.54,363.51,365.13,435016
5/14/2015,367.52,371.51,366.9,371.47,419021
5/15/2015,372,372.66,368.57,370.85,415755
5/18/2015,370.16,371.97,368.74,370.71,391916
5/19/2015,371.69,372.95,368.92,371.08,406122
5/20/2015,370.63,371.66,367.68,370.25,448040
5/21/2015,370.5,371.77,368.03,368.22,390534
5/22/2015,368.39,369.46,367.53,368.08,303676
5/26/2015,367.01,368.41,364.82,365.03,696031
5/27/2015,366.03,369.68,364.78,368.68,352508
5/28/2015,366.98,369.76,366.07,369.51,358134
5/29/2015,369.47,369.47,365,365.78,626999
6/1/2015,366.08,367.27,362.65,364.27,418389
6/2/2015,362.8,364.68,360.54,363.4,430777
6/3/2015,364.39,367.01,362.52,364.95,464446
6/4/2015,362.72,364.52,356.4,357.83,639962
6/5/2015,358,360.39,350.43,355.32,740546
6/8/2015,356.45,357.78,353.16,353.45,682955
6/9/2015,353.88,356.11,352.01,352.73,538956
6/10/2015,354.99,357.91,354.28,355.61,768464
6/11/2015,356.73,358.83,355.01,356.81,585815
6/12/2015,356,356.7,352.82,353.43,518012
6/15/2015,351.63,356.8,348.47,355.28,1096919
