date,open,high,low,close,volume
1/2/2018,518.78,518.78,506.48,508.97,527135
1/3/2018,508.66,514.74,508.16,514.34,448724
1/4/2018,516.5,521.31,515.01,521.13,389830
1/5/2018,523.86,525.94,520.89,525.57,482968
1/8/2018,523.94,529.72,523.52,529.49,561517
1/9/2018,529,540,528.57,533.94,547671
1/10/2018,534.47,535.88,529.78,531.57,483772
1/11/2018,534.15,538.96,530.61,537.92,765925
1/12/2018,552.7,556.37,546.71,555.53,941849
1/16/2018,562.62,571.82,561.06,563,1370552
1/17/2018,567.21,578.63,565.29,576.51,983901
1/18/2018,577.27,584.21,575.02,579.22,819845
1/19/2018,582.62,590.56,581.03,590.26,591655
1/22/2018,592.46,593.44,581.99,593.26,843573
1/23/2018,593,594.52,588.4,589.68,643398
1/24/2018,591.9,592.45,583.18,587.67,642174
1/25/2018,585,585.93,572.95,575.5,892464
1/26/2018,578.21,586.95,577.12,586.8,516601
1/29/2018,585.53,585.53,574.2,574.42,611014
1/30/2018,570.05,571.53,562.18,562.29,851135
1/31/2018,564.81,566.97,559.65,561.8,665825
2/1/2018,561.41,568.48,558.75,565.19,659597
2/2/2018,565.26,565.26,545.81,548.32,808150
2/5/2018,539.99,553.03,518.5,524.97,1129441
2/6/2018,510.81,538.52,507.26,535.22,1076684
2/7/2018,535.18,541.66,532,532.26,672416
2/8/2018,534.23,536.49,509.01,509.38,1038698
2/9/2018,517.05,525.99,500.01,521.51,938570
2/12/2018,526.32,532.14,519.88,525.38,614748
2/13/2018,520.86,526.52,518.77,521.27,517482
2/14/2018,517.9,540.35,516.4,539.94,657379
2/15/2018,546.41,547.71,531.17,540.65,647959
2/16/2018,539.35,548.48,537.83,541.1,534425
2/20/2018,541,546.43,537.25,542.6,532149
2/21/2018,542.6,556.06,542.42,543.56,486257
2/22/2018,547.96,552.17,537.49,539.53,626096
2/23/2018,543.76,549.91,542.05,549.75,366653
2/26/2018,553.15,564.22,550.69,563.97,639590
2/27/2018,561.95,565.49,552.76,552.77,616407
2/28/2018,554.74,566.4,548.83,549.43,721147
3/1/2018,548.6,549.02,527.03,535.58,779735
3/2/2018,530.22,539.8,527.09,537.58,636469
3/5/2018,532.65,546.16,531.42,545.26,384595
3/6/2018,543.16,549,540.14,548.66,387462
3/7/2018,540.42,548.52,538.33,547.43,465886
3/8/2018,548.87,554.37,547.02,553.39,595221
3/9/2018,558.33,578.65,558.33,577.18,814709
3/12/2018,578.34,578.8,569.01,571.79,410921
3/13/2018,577.26,578.56,562.18,564.06,477530
3/14/2018,566.66,566.66,557.56,558.96,341448
3/15/2018,560.25,563.63,555.85,557.93,313222
3/16/2018,558.79,565.88,558.04,563.66,616887
3/19/2018,563.85,563.98,548.09,553.83,554578
3/20/2018,557.54,557.84,552,557.52,381157
3/21/2018,558.6,573.47,557.05,564.16,480139
3/22/2018,556.14,558.17,538.38,539.42,699186
3/23/2018,542.19,542.19,518.55,521.13,655419
