date,open,high,low,close,volume
1/2/2018,154.53,155.81,154.03,155.81,41500
1/3/2018,156.26,157.63,155.94,157.47,44271
1/4/2018,158.04,158.83,158,158.5,29179
1/5/2018,159.19,160.2,158.89,160.2,44063
1/8/2018,160.01,160.77,159.97,160.61,35329
1/9/2018,160.74,160.74,159.74,160.01,34537
1/10/2018,159.05,159.29,158.43,159.12,41644
1/11/2018,159.41,159.84,159.04,159.71,31756
1/12/2018,159.57,161.03,159.41,160.77,34089
1/16/2018,162.18,162.85,160.5,160.59,89444
1/17/2018,161.57,163.41,161.14,163.25,112879
1/18/2018,163.23,163.92,162.83,163.51,38133
1/19/2018,164.05,164.37,163.35,163.94,47532
1/22/2018,163.78,165.41,163.62,165.11,50938
1/23/2018,165.81,166.66,165.81,166.52,42815
1/24/2018,166.58,166.62,164.31,165.06,409853
1/25/2018,165.74,166.11,164.24,164.39,49154
1/26/2018,165.65,166.92,165.21,166.87,32743
1/29/2018,166.53,166.53,165.38,165.5,48665
1/30/2018,163.99,164.35,163.1,163.64,34020
1/31/2018,164.83,164.98,163.68,164.59,204469
2/1/2018,164.07,165.67,164.07,164.41,33333
2/2/2018,162.42,162.78,159.45,159.45,82734
2/5/2018,157.99,160.5,153.18,153.23,101107
2/6/2018,151.29,157.53,150.48,157.35,118405
2/7/2018,156.58,157.86,154.97,155.08,65810
2/8/2018,155.43,155.68,148.76,148.86,157315
2/9/2018,151.22,152.97,146.24,152.15,66692
2/12/2018,153.75,155.85,153.24,155.04,36011
2/13/2018,154.36,155.96,154.23,155.84,26434
2/14/2018,154.99,159.32,154.46,159.24,69354
2/15/2018,160.88,162.25,159.01,162.25,48715
2/16/2018,161.64,163.55,161.32,161.93,47942
2/20/2018,160.61,162.65,160.61,161.55,70886
2/21/2018,162.28,163.56,160.54,160.84,30720
2/22/2018,161.32,162.23,160.49,160.67,155415
2/23/2018,162.01,164.06,161.91,164.06,30803
2/26/2018,164.48,166.36,164.13,166.36,39358
2/27/2018,166.13,166.8,164.21,164.21,87319
2/28/2018,164.95,165.73,163.17,163.25,201473
3/1/2018,163.38,163.7,159.28,160.26,46267
3/2/2018,158.77,162.1,158.02,161.78,100600
3/5/2018,160.98,163.75,160.38,163.35,74484
3/6/2018,164.67,165.25,163.67,164.11,28960
3/7/2018,163.08,165.37,163.08,165.19,35350
3/8/2018,165.83,166.09,165.07,165.85,20958
3/9/2018,167.13,169.24,167.07,169.24,41110
3/12/2018,169.74,170.32,169.22,169.83,66640
3/13/2018,170.76,171.45,167.69,167.95,47031
3/14/2018,169.09,169.21,167.53,168.39,102580
3/15/2018,168.63,169.46,167.96,168.61,24890
3/16/2018,168.57,168.86,167.97,168.09,16914
3/19/2018,166.59,166.59,163.42,164.69,42958
3/20/2018,164.6,165.5,164.3,165,25929
3/21/2018,164.7,165.95,164,164.39,25649
3/22/2018,161.86,162.56,159.41,159.41,45150
3/23/2018,159.41,160.18,155.38,155.52,60692
3/26/2018,158.78,161.56,156.85,161.43,59276
3/27/2018,162.09,162.09,155.33,156.25,116862
3/28/2018,155.88,157.16,154.13,155.12,50805
3/29/2018,156.32,159.6,155.23,158.33,54312
4/2/2018,157.24,157.28,152.87,154.32,54358
4/3/2018,155.58,156.06,153.89,155.95,39331
4/4/2018,152.31,157.29,152.15,157.29,80074
4/5/2018,158.66,159.13,157.28,158.46,1946075
4/6/2018,156.5,157.46,153.71,154.19,91746
4/9/2018,155.76,158.43,155.54,155.72,32626
4/10/2018,158.06,159.31,157.46,159.02,39675
4/11/2018,158.29,159.61,157.96,158.48,34428
4/12/2018,159.04,160.6,158.7,160.19,120812
4/13/2018,160.88,161.34,158.86,159.39,24936
4/16/2018,160.16,160.94,159.4,160.51,42077
4/17/2018,161.46,163.53,161.37,163.2,39112
4/18/2018,162.79,163.39,162,163.01,42459
4/19/2018,162.02,162.1,160.72,161.12,75205
4/20/2018,160.51,160.51,158.44,159.03,109453
4/23/2018,159.51,159.76,157.75,158.15,34488
4/24/2018,158.73,159.01,154.5,155.39,48644
4/25/2018,155.7,155.7,153.74,155.2,33353
4/26/2018,157.52,159.04,156.97,158.7,34389
4/27/2018,160.1,160.1,157.74,158.51,39254
4/30/2018,158.62,159.63,157.47,157.51,89622
5/1/2018,157.2,159.11,156.59,159.1,95405
5/2/2018,160.03,160.59,158.73,159.12,55816
5/3/2018,158.47,159.85,157.22,159.39,24186
5/4/2018,158.91,162.49,158.38,162.12,37067
5/7/2018,162.43,163.63,162.4,163.14,24498
5/8/2018,163.1,163.91,162.59,163.65,30396
5/9/2018,164.07,165.65,163.66,165.55,41288
5/10/2018,164.07,165.65,163.66,165.55,41288
5/11/2018,167.57,168,166.93,167.64,102177
5/14/2018,167.96,168.66,167.33,167.35,234513
5/15/2018,165.98,166.38,164.71,165.32,41120
5/16/2018,165.87,166.95,165.87,166.66,24154
5/17/2018,165.84,166.8,165.02,165.88,28618
5/18/2018,165.09,165.65,164.87,164.95,18531
5/21/2018,166.34,167.11,165.73,166.35,28673
5/22/2018,166.81,167.43,165.99,166.08,57057
5/23/2018,165.08,167.31,164.78,167.24,18038
5/24/2018,167.13,167.2,165.25,166.92,25372
5/25/2018,166.92,167.56,166.86,167.23,20033
5/29/2018,165.92,166.52,164.6,165.37,93701
5/30/2018,165.99,166.9,165.56,166.8,37936
5/31/2018,165.99,166.9,165.56,166.8,37936
6/1/2018,167.92,169.91,167.92,169.91,59697
6/4/2018,170.31,171.29,170.16,171.17,75036
6/5/2018,171.48,172.07,171.21,171.9,32231
6/6/2018,172.09,172.86,171.38,172.86,21359
6/7/2018,172.98,173.28,170.41,171.2,54148
6/8/2018,170.16,171.12,169.76,170.88,51914
6/11/2018,170.98,171.68,170.72,171.27,66836
6/12/2018,171.38,171.79,171,171.61,33462
6/13/2018,171.96,172.81,171.24,171.41,43150
6/14/2018,171.79,172.53,171.42,172.09,38053
6/15/2018,171.44,171.44,170.36,171.03,28141
6/18/2018,169.59,171.15,169.17,170.95,36069
6/19/2018,168.12,169.07,167.02,168.96,33978
6/20/2018,169.67,170.45,169.5,169.75,27793
6/21/2018,170.14,170.15,167.83,168.27,37566
6/22/2018,168.82,168.92,167.23,167.73,51535
6/25/2018,166.27,166.41,162.97,164,32989
6/26/2018,164.74,165.7,164.36,164.81,37618
6/27/2018,165.31,165.75,162.53,162.53,45561
6/28/2018,162.09,164.39,162.07,164.02,32558
6/29/2018,165,165.73,164.45,164.5,56202
7/2/2018,162.89,165.23,162.89,165.18,59667
7/3/2018,165.65,165.65,163.29,163.35,76439
7/5/2018,164.21,165.42,163.81,165.4,186523
7/6/2018,165.31,167.44,165.31,167.25,29413
7/9/2018,168.41,168.94,167.55,168.94,225680
7/10/2018,169.05,169.77,168.79,169.29,3331397
7/11/2018,167.64,169.22,167.64,167.71,392132
7/12/2018,168.6,170.62,168.6,170.58,232563
7/13/2018,170.68,170.99,170.06,170.69,177180
7/16/2018,170.76,171,169.97,170.12,229711
7/17/2018,169.2,171.73,168.9,171.5,117556
7/18/2018,171.48,172.03,170.96,171.61,96900
7/19/2018,171,171.39,170.71,171.06,73705
7/20/2018,171.69,172.24,171.17,171.25,106230
7/23/2018,171,171.79,169.97,171.74,159586
7/24/2018,173.38,173.98,171.92,172.5,84288
7/25/2018,172.51,174.94,172.51,174.94,226422
7/26/2018,172.27,172.76,171.45,172.31,802367
7/27/2018,172.73,172.73,168.51,169.38,112567
7/30/2018,169.57,169.57,166.01,166.65,57264
7/31/2018,167.11,168.12,166.18,167.17,108737
8/1/2018,168.26,169.44,167.77,168.52,82021
8/2/2018,166.86,170.21,166.39,170.18,48254
8/3/2018,170.24,170.78,169.56,170.78,70528
8/6/2018,170.42,171.44,170.07,171.44,92606
8/7/2018,172.3,172.47,171.68,172.2,48836
8/8/2018,172,173.28,172,173.28,182890
8/9/2018,172.98,173.5,172.48,172.77,68190
8/10/2018,170.93,171.44,170.26,170.76,57177
8/13/2018,170.67,171.94,170.24,170.32,47748
8/14/2018,170.83,171.24,169.77,171.15,39560
8/15/2018,169.34,169.92,167.69,168.63,84510
8/16/2018,170.1,170.47,169.2,169.58,42724
8/17/2018,169.23,170.53,168.51,170.08,100658
8/20/2018,170.54,170.54,169.42,169.94,42693
8/21/2018,170.75,171.53,170.54,170.67,40463
8/22/2018,170.55,171.89,170.34,171.73,67659
8/23/2018,171.35,172.62,171.35,171.69,73525
8/24/2018,172.35,173.68,171.96,173.65,33825
8/27/2018,174.64,175.56,174.12,175.54,40058
8/28/2018,175.88,176.2,175.38,175.83,54992
8/29/2018,175.83,177.46,175.78,177.45,39620
8/30/2018,176.77,177.61,175.91,176.19,541013
8/31/2018,176.02,176.82,175.66,176.42,44116
9/4/2018,175.4,175.63,174.23,175.58,97492
9/5/2018,174.77,175,171.97,172.49,87878
9/6/2018,172.34,172.34,170.14,171.16,69469
9/7/2018,169.96,171.79,169.75,170.44,42094
9/10/2018,171.08,171.12,170.23,170.99,42177
9/11/2018,170.15,172.37,170.01,172.04,40386
9/12/2018,171.37,171.56,169.73,171.01,51525
9/13/2018,172.14,173.76,172.14,173.14,101897
9/14/2018,173.54,174.15,172.77,173.4,49423
9/17/2018,173.02,173.43,171.05,171.06,83457
9/18/2018,171.26,173.17,171.01,172.6,48879
9/19/2018,172.42,173.15,171.55,172.62,44000
9/20/2018,173.57,174.84,173.31,174.64,147530
9/21/2018,174.86,175.36,173.99,174.05,101358
9/24/2018,173.44,174.86,173.09,174.84,128933
9/25/2018,174.85,175.36,174.48,174.72,32890
9/26/2018,174.91,176.06,174.28,174.48,173303
9/27/2018,174.92,175.69,174.62,175.23,21495
9/28/2018,174.51,175.45,174,175.12,28415
10/1/2018,176.29,176.89,175.86,176.34,34782
10/2/2018,175.65,176.77,175.28,175.78,1111445
10/3/2018,176.47,177,176.02,176.24,136390
10/4/2018,175.29,175.29,171.99,172.88,114286
10/5/2018,172.81,173.26,169.29,170.64,109823
10/8/2018,169.79,170.5,167.28,168.83,65472
10/9/2018,168.42,170.05,168.42,169.46,120455
10/10/2018,168.14,168.14,161.38,161.54,213785
10/11/2018,160.85,163.31,158,159.11,172571
10/12/2018,163.68,164.53,161.04,164.32,209980
10/15/2018,163.39,163.58,161.46,161.61,207568
10/16/2018,163.91,166.7,163.61,166.6,82782
10/17/2018,166.79,166.79,164.52,165.93,68810
10/18/2018,164.85,164.85,161.46,162.16,193843
10/19/2018,163.33,164.77,162,162.57,83480
10/22/2018,163.15,164.32,162.32,163.64,80008
10/23/2018,159.7,163.24,158.2,162.25,77842
10/24/2018,161.48,161.52,154.86,154.97,101381
10/25/2018,156.99,160.88,156.64,160.12,982757
10/26/2018,156.35,159.4,154.81,156.39,195030
10/29/2018,159.14,159.95,151.78,154.37,110667
10/30/2018,154.78,157.09,154.18,156.93,127218
10/31/2018,159.14,161.42,158.85,160.38,129934
11/1/2018,160.92,162.54,159.75,162.39,89589
11/2/2018,162.01,162.93,158.94,160.27,205596
11/5/2018,159.87,160.16,157.88,159.73,95224
11/6/2018,159.76,161.24,159.58,160.69,84613
11/7/2018,162.45,165.08,162.37,165.08,61300
11/8/2018,164.24,164.8,163.62,164.24,70821
11/9/2018,162.88,163.14,160.57,161.68,75796
11/12/2018,160.27,160.84,156.32,156.36,71229
11/13/2018,156.68,159.17,156.31,156.61,80027
11/14/2018,158.04,158.5,154.35,154.55,1107329
11/15/2018,155.05,158.89,154.31,158.71,55686
11/16/2018,156.26,158.67,156.16,158.07,55200
11/19/2018,157.13,157.13,152.18,152.42,110156
11/20/2018,148.29,150.99,147.67,149.01,122393
11/21/2018,151.14,151.67,150.09,150.68,54897
11/23/2018,149.16,150.53,149.16,149.19,67200
11/26/2018,151.29,152.66,150.75,152.66,98707
11/27/2018,151.51,152.95,151.03,152.73,104795
11/28/2018,154.16,157.87,153.73,157.87,129267
11/29/2018,157.26,157.54,155.65,156.51,53803
11/30/2018,156.17,157.3,155.44,157.15,84340
12/3/2018,160.91,161.27,159.35,161.05,134176
12/4/2018,159.54,159.83,154.72,154.72,150132
12/6/2018,151.27,154.55,150.08,154.3,205362
12/7/2018,153.87,154.77,149.21,149.56,240518
12/10/2018,148.99,151.81,148.13,151.58,92290
12/11/2018,153.61,153.79,150.54,151.66,57359
12/12/2018,154.07,155.21,153.13,153.28,112482
12/13/2018,153.74,154.47,152.46,153.09,85470
12/14/2018,151.12,151.76,149.25,149.33,94075
12/17/2018,148.92,149.96,145.56,145.56,126071
12/18/2018,146.97,147.99,145.99,147.13,246411
12/19/2018,146.83,149.34,142.57,144.08,206111
12/20/2018,143.82,145.01,140.15,141.56,242514
12/21/2018,141.82,143.12,137.51,137.91,124289
12/24/2018,136.82,138.23,134.75,134.75,81813
12/26/2018,135.9,142.33,135,142.25,153873
12/27/2018,139.79,142.84,137.99,142.84,140250
12/28/2018,144.04,144.98,142.01,143.29,127058
12/31/2018,144.28,145.02,143.16,144.03,142074
1/2/2019,141.8,144.83,141.56,144.35,86108
1/3/2019,140.48,140.74,137.15,137.15,76377
1/4/2019,139.24,143.23,139.07,142.75,80582
1/7/2019,143.05,145.17,142.75,143.96,95765
1/8/2019,145.39,145.9,143.71,145.24,58311
1/9/2019,146.34,148.02,146.08,147.51,88859
1/10/2019,146.31,148.11,145.8,148.11,66455
1/11/2019,147.4,147.91,147.02,147.64,66091
1/14/2019,146.38,146.74,145.78,146.25,61327
1/15/2019,147.05,148.93,147.05,148.76,231389
1/16/2019,148.98,149.68,148.74,148.9,92137
1/17/2019,148.36,150.6,148.02,149.91,105802
1/18/2019,151.47,152.43,150.59,152.26,168298
1/22/2019,151.04,151.04,148.5,148.98,147233
1/23/2019,150.27,151.23,148.79,150.22,60754
1/24/2019,151.08,152.2,151.08,151.95,75331
1/25/2019,153.42,154.82,153.09,154.56,135539
1/28/2019,152.35,152.58,151.5,152.4,107272
1/29/2019,152.63,152.77,150.83,150.98,89451
1/30/2019,153.41,155.7,152.55,155.11,133954
1/31/2019,154.56,155.93,154.01,155.13,74922
2/1/2019,155.2,156.48,155.14,155.85,116319
2/4/2019,156.06,158.12,155.85,158.09,98801
2/5/2019,158.57,159.74,158.33,159.59,103752
2/6/2019,159.67,160.32,159.14,159.87,93249
2/7/2019,158.3,158.96,156.69,157.4,54807
2/8/2019,155.85,157.72,155.47,157.72,43952
2/11/2019,158.24,158.95,157.67,158,156661
2/12/2019,159.28,160.49,158.97,160.33,317853
2/13/2019,160.83,161.23,160.41,160.5,60513
2/14/2019,160.23,161.4,160,160.77,52312
2/15/2019,161.83,162.09,160.93,161.77,58651
2/19/2019,161.21,162.44,160.97,162.01,69263
2/20/2019,162.19,162.9,161.67,162.2,52062
2/21/2019,162.02,162.81,161.6,162.27,43620
2/22/2019,163.19,164.42,163.19,164.41,46610
2/25/2019,165.61,166.23,165.19,165.28,81854
2/26/2019,164.53,165.78,164.28,165.26,50831
2/27/2019,164.68,165.11,163.61,165.06,60258
2/28/2019,164,164.64,163.66,163.86,85638
3/1/2019,165.22,165.68,164.28,165.26,55444
3/4/2019,165.74,165.96,162.93,164.41,64294
3/5/2019,164.5,164.58,163.56,164.19,59803
3/6/2019,163.99,164,163.15,163.22,38470
3/7/2019,162.76,162.81,161.18,161.49,62775
3/8/2019,159.75,161.52,159.57,161.45,42426
3/11/2019,162.04,164.82,162.04,164.79,80329
