date,open,high,low,close,volume
2017-02-17,39.0,39.16,38.98,39.15,8261747
2017-02-21,39.38,39.52,39.33,39.5,6545010
2017-02-22,39.48,39.6,39.44,39.585,6539916
2017-02-23,39.77,39.78,39.5657,39.59,15038719
2017-02-24,39.19,39.2665,39.13,39.18,10561233
2017-02-27,39.1,39.17,38.98,39.04,8039410
2017-02-28,38.99,39.0,38.69,38.7,11181172
2017-03-01,39.03,39.33,39.0,39.295,13646952
2017-03-02,38.86,38.89,38.595,38.61,13307861
2017-03-03,38.81,38.99,38.729,38.955,9701338
2017-03-06,39.03,39.05,38.88,39.0,7948724
2017-03-07,39.11,39.1367,38.98,39.04,14500446
2017-03-08,38.91,38.94,38.61,38.64,15267627
2017-03-09,38.43,38.47,38.12,38.34,11782337
2017-03-10,38.57,38.65,38.4601,38.64,14618421
2017-03-13,39.03,39.18,38.97,39.13,9228263
2017-03-14,39.05,39.05,38.88,38.9,11154123
2017-03-15,39.07,39.925,38.9842,39.84,21533241
2017-03-16,40.12,40.22,40.0401,40.11,27903685
2017-03-17,40.11,40.155,39.97,40.05,17139869
2017-03-20,40.22,40.5151,40.175,40.44,13056421
2017-03-21,40.57,40.63,39.9333,39.97,17033905
2017-03-22,39.89,40.175,39.8,40.08,13710864
2017-03-23,39.97,40.23,39.94,40.095,12527987
2017-03-24,40.1,40.275,40.09,40.21,11748907
2017-03-27,39.92,40.15,39.8,40.09,12383670
2017-03-28,40.06,40.28,40.06,40.175,13651940
2017-03-29,40.08,40.26,40.06,40.23,8199391
2017-03-30,40.09,40.1875,40.0,40.02,7152101
2017-03-31,39.79,39.88,39.715,39.74,11712893
2017-04-03,39.91,40.04,39.755,40.02,14898463
2017-04-04,39.95,40.15,39.915,40.12,8551302
2017-04-05,40.29,40.41,40.0199,40.035,11126714
2017-04-06,40.03,40.07,39.86,39.97,8904541
2017-04-07,39.95,40.14,39.9,39.97,8902967
2017-04-10,39.76,39.85,39.68,39.79,8959905
2017-04-11,39.84,39.8657,39.52,39.82,9006728
2017-04-12,39.92,39.94,39.68,39.94,13475808
2017-04-13,39.96,40.08,39.74,39.74,7159975
2017-04-17,39.87,40.08,39.82,40.075,7900762
2017-04-18,39.66,39.79,39.53,39.61,9558319
2017-04-19,39.645,39.68,39.26,39.32,9130808
2017-04-20,39.71,39.76,39.57,39.73,9449763
2017-04-21,39.72,39.74,39.6222,39.71,14958341
2017-04-24,40.19,40.23,40.1,40.165,12226215
2017-04-25,40.38,40.53,40.335,40.46,13955922
2017-04-26,40.35,40.47,40.26,40.29,12332150
2017-04-27,40.32,40.345,40.07,40.185,8915545
2017-04-28,40.26,40.37,40.1967,40.33,10734380
2017-05-01,40.48,40.6,40.39,40.48,11280364
2017-05-02,40.6,40.74,40.57,40.685,10599350
2017-05-03,40.56,40.56,40.36,40.43,10353683
2017-05-04,40.23,40.25,39.94,39.99,8220808
2017-05-05,39.94,40.23,39.9,40.21,10257639
2017-05-08,40.17,40.21,39.96,39.98,9346732
2017-05-09,40.25,40.49,40.25,40.39,11088092
2017-05-10,40.6,40.75,40.59,40.74,11198419
2017-05-11,40.68,40.755,40.5,40.71,12091441
2017-05-12,40.8,40.96,40.77,40.93,12463810
2017-05-15,41.14,41.32,41.0947,41.305,10917965
2017-05-16,41.32,41.36,41.2,41.36,11763405
2017-05-17,41.01,41.06,40.69,40.72,14907864
2017-05-18,39.86,40.298,39.62,39.97,28067174
2017-05-19,40.5,40.805,40.47,40.71,13323099
2017-05-22,40.67,40.755,40.58,40.69,11288856
2017-05-23,40.66,40.71,40.56,40.66,8965911
2017-05-24,40.71,40.8799,40.65,40.81,9370667
2017-05-25,40.99,41.13,40.928,41.0,7953723
2017-05-26,41.03,41.12,41.0,41.09,6980113
2017-05-30,40.95,41.06,40.92,41.04,5691853
2017-05-31,40.91,40.94,40.665,40.73,11236017
2017-06-01,40.84,41.04,40.76,41.04,13292053
2017-06-02,41.09,41.17,41.02,41.17,8088409
2017-06-05,41.17,41.26,41.1,41.155,8236339
2017-06-06,41.1,41.26,41.0699,41.2,7540089
2017-06-07,41.14,41.27,40.96,41.17,8068109
2017-06-08,41.22,41.28,41.1201,41.25,8336999
2017-06-09,41.23,41.27,40.8,40.975,11132036
2017-06-12,40.83,40.88,40.63,40.82,9859051
2017-06-13,40.96,41.02,40.87,41.02,11266733
2017-06-14,41.21,41.24,40.84,40.97,10508398
2017-06-15,40.5,40.63,40.38,40.63,8031570
2017-06-16,40.7,40.77,40.55,40.75,7336974
2017-06-19,40.9,41.07,40.87,41.0099,7421885
2017-06-20,40.86,40.87,40.51,40.53,9241469
2017-06-21,40.53,40.6399,40.37,40.42,7293723
2017-06-22,40.61,40.71,40.49,40.59,8638129
2017-06-23,40.64,40.79,40.58,40.72,6643381
2017-06-26,41.11,41.21,41.0,41.16,9718082
2017-06-27,40.96,41.0199,40.73,40.73,14215560
2017-06-28,40.9,41.06,40.77,40.985,11997614
2017-06-29,40.82,40.83,40.2883,40.52,10043494
2017-06-30,40.81,40.96,40.75,40.83,11257311
2017-07-03,41.01,41.12,40.93,41.0,6303809
2017-07-05,40.81,40.97,40.62,40.95,15904561
2017-07-06,40.78,40.82,40.48,40.49,20448290
2017-07-07,40.64,40.68,40.433,40.6,11277307
2017-07-10,40.71,40.94,40.68,40.89,7258398
2017-07-11,41.1,41.24,40.965,41.185,7678824
2017-07-12,41.73,41.99,41.71,41.95,11131301
2017-07-13,41.95,42.1,41.9,42.09,7909179
2017-07-14,42.36,42.58,42.33,42.54,10844221
2017-07-17,42.33,42.34,42.22,42.305,7793790
2017-07-18,42.22,42.38,42.151,42.35,8661442
2017-07-19,42.78,42.81,42.67,42.78,5196760
2017-07-20,42.74,42.77,42.615,42.7,9440829
2017-07-21,42.66,42.71,42.52,42.6,6277824
2017-07-24,42.78,42.8,42.63,42.755,7295186
2017-07-25,42.82,42.88,42.7,42.71,7499756
2017-07-26,42.77,43.02,42.69,42.99,7350592
2017-07-27,43.12,43.13,42.58,42.79,9207580
2017-07-28,42.83,42.96,42.721,42.945,7315121
2017-07-31,43.07,43.07,42.89,43.01,12592682
2017-08-01,43.2,43.25,43.1,43.18,10606897
2017-08-02,43.23,43.3,43.06,43.275,8239609
2017-08-03,43.19,43.19,43.02,43.145,5709828
2017-08-04,43.21,43.3,43.05,43.255,7117343
2017-08-07,43.41,43.55,43.41,43.52,6155112
2017-08-08,43.62,43.8,43.48,43.53,7906281
2017-08-09,43.16,43.27,43.06,43.25,7634836
2017-08-10,42.84,42.92,42.27,42.28,13650587
2017-08-11,42.32,42.55,42.22,42.41,10618983
2017-08-14,42.8,42.9299,42.7,42.775,7011501
2017-08-15,42.69,42.78,42.59,42.75,6256245
2017-08-16,43.14,43.28,43.09,43.27,5640741
2017-08-17,43.14,43.19,42.69,42.71,8477844
2017-08-18,42.9,43.21,42.745,43.04,8374190
2017-08-21,43.12,43.25,43.03,43.145,7580782
2017-08-22,43.41,43.61,43.4,43.52,6164977
2017-08-23,43.48,43.77,43.46,43.73,5898797
