typeofaction,sourceid,destinationid,amountofmoney,year,month,day,dayofweek,isfraud
cash-in,30105,28942,494528,2019,7,19,4,1
cash-in,30105,8692,494528,2019,5,17,4,1
cash-in,30105,60094,494528,2019,7,20,5,1
cash-in,30105,20575,494528,2019,7,3,2,1
cash-in,30105,45938,494528,2019,5,26,6,1
cash-in,30105,54971,494528,2019,4,6,5,1
cash-in,30105,62257,494528,2019,4,23,1,1
cash-in,30105,1020,494528,2019,7,4,3,1
cash-in,30105,98751,494528,2019,5,6,0,1
cash-in,30105,82016,494528,2019,6,9,6,1
cash-in,30105,13800,494528,2019,4,17,2,1
cash-in,30105,52681,494529,2019,7,18,3,1
cash-in,30105,80113,494529,2019,3,27,2,1
cash-in,30105,64316,494529,2019,6,9,6,1
cash-in,30105,94472,494529,2019,2,21,3,1
cash-in,30105,23762,494529,2019,4,7,6,1
cash-in,30105,12860,494529,2019,4,28,6,1
cash-in,30105,61008,494529,2019,4,19,4,1
cash-in,30105,3164,494529,2019,5,19,6,1
cash-in,30105,24259,494529,2019,4,20,5,1
cash-in,80740,29758,388294,2019,5,3,4,1
cash-in,80740,47869,388294,2019,6,14,4,1
cash-in,80740,79227,388294,2019,3,5,1,1
cash-in,80740,68225,388294,2019,3,3,6,1
cash-in,80740,65031,388294,2019,3,10,6,1
cash-in,80740,90735,388294,2019,7,17,2,1
cash-in,80740,84696,388294,2019,3,4,0,1
cash-in,80740,67988,388294,2019,5,25,5,1
cash-in,80740,33384,388294,2019,5,22,2,1
cash-in,80740,57761,388294,2019,5,6,0,1
cash-in,80740,90295,388294,2019,6,26,2,1
cash-in,80740,28815,388294,2019,4,27,5,1
cash-in,80740,39965,388295,2019,6,12,2,1
cash-in,80740,48861,388295,2019,3,15,4,1
cash-in,80740,96543,388295,2019,7,17,2,1
cash-in,80740,83049,388295,2019,3,5,1,1
cash-in,80740,36644,388295,2019,5,30,3,1
cash-in,80740,12726,388295,2019,4,5,4,1
cash-in,80740,38032,388295,2019,6,6,3,1
cash-in,80740,19808,388295,2019,6,8,5,1
cash-in,92735,16792,306536,2019,6,20,3,1
cash-in,92735,98862,306536,2019,3,21,3,1
cash-in,92735,64222,306536,2019,3,30,5,1
cash-in,92735,45890,306536,2019,5,9,3,1
cash-in,92735,76199,306536,2019,5,6,0,1
cash-in,92735,94635,306536,2019,3,20,2,1
cash-in,92735,11443,306536,2019,5,12,6,1
cash-in,92735,82726,306536,2019,3,30,5,1
cash-in,92735,78865,306536,2019,7,5,4,1
cash-in,92735,93295,306536,2019,4,8,0,1
cash-in,92735,23512,306536,2019,3,15,4,1
cash-in,92735,62065,306536,2019,4,15,0,1
cash-in,92735,63711,306536,2019,2,25,0,1
cash-in,92735,34121,306536,2019,6,25,1,1
cash-in,92735,53801,306536,2019,6,20,3,1
cash-in,92735,41429,306536,2019,3,3,6,1
cash-in,92735,12806,306537,2019,5,12,6,1
cash-in,92735,58732,306537,2019,7,14,6,1
cash-in,92735,9507,306537,2019,3,23,5,1
cash-in,92735,61512,306537,2019,4,10,2,1
cash-in,92735,87991,306537,2019,4,24,2,1
cash-in,92735,83840,306537,2019,7,10,2,1
